⌚	наручний годинник	годинник|наручний годинник
⚫	чорний круг	геометричний|коло|чорне|чорний круг
⚽	футбольний м’яч	м’яч|спорт|ФІФА|футбол|футбольний м’яч|чемпіонат
⚾	бейсбольний м’яч	бейсбольний м’яч|м’яч|спорт
⛄	сніговик без снігу	cніговик|погода|сніг|сніговик|сніговик без снігу|холодний
⛅	сонце за хмарою	погода|сонце|сонце за хмарою|хмара|хмарно
⛎	Змієносець	гороскоп|змієносець|Змієносець|змія|зодіак|носій
⛔	вʼїзд заборонено	в’їзд заборонено|вʼїзд|заборонено|не в’їжджати|не дозволено|немає|рух
⛪	церква	будівля|релігія|хрест|християнський|церква
⛲	фонтан	фонтан
⛳	лунка для гольфу з прапорцем	гольф|гра|лунка|лунка для гольфу з прапорцем
⛵	вітрильник	відпочинок|вітрильник|море|плавання|транспорт|човен|яхта
⛺	намет	намет|похід
⛽	бензоколонка	бензоколонка|заправка|насос|паливний насос|пальне
✅	кнопка з галочкою	✓|виконано|галочка|готово|значок|кнопка|кнопка з галочкою|опція|позначка|прапорець
✊	піднятий кулак	кулак|піднятий кулак|рука|стиснутий|тіло
✋	піднята рука	дай пʼять|долоня|піднята рука|рука|стояти|тіло
✨	блискітки	блискітки|зірка|іскра|іскри|яскравий
❌	хрестик	×|значок|множення|позначка|помножити|скасувати|х|хрестик
❎	кнопка з хрестиком	×|значок|квадрат|кнопка з хрестиком|позначка|х
❓	червоний знак питання	?|знак питання|питання|пунктуація|розділовий знак|червоний знак питання
❔	білий знак питання	?|білий знак питання|знак питання|контурний|питання|пунктуація|розділовий знак
❕	білий знак оклику	!|білий знак оклику|знак оклику|контурний|оклик|пунктуація|розділовий знак
❗	червоний знак оклику	!|знак оклику|оклик|пунктуація|розділовий знак|червоний знак оклику
➕	плюс	+|знак|математика|математичний|плюс
➖	мінус	-|−|знак|математика|математичний|мінус
➗	ділення	÷|ділення|знак|математика|математичний
➰	закручена петля	закручена петля|закручений|петля
➿	подвійна закручена петля	закручений|петля|подвійна закручена петля|подвійний
⬛	великий чорний квадрат	великий чорний квадрат|геометричний|квадрат
⬜	великий білий квадрат	великий білий квадрат|геометричний|квадрат
⭐	зірка	зірка|середня біла зірка
⭕	порожнисте червоне коло	велике|коло|о|порожнисте червоне коло|червоне
🀄	фішка маджонгу «червоний дракон»	гра|маджонг|фішка маджонг червоний дракон|фішка маджонгу «червоний дракон»|червоний
🃏	джокер	гра|грати|джокер|карта
🆎	кнопка AB (IV група крові)	3|ab|iii|група крові|група крові AB|кнопка «група крові ab»|кнопка AB (IV група крові)|кров|четверта група крові
🆑	кнопка «очистити»	квадрат «очистити текст»|клавіша "очистити текст"|кнопка «очистити»|очистити текст
🆒	кнопка «COOL»	квадрат «круто»|кнопка «COOL»|круто
🆓	кнопка «FREE»	FREE|безкоштовно|безплатно|квадрат «безкоштовно»|кнопка «FREE»
🆔	кнопка "ID"	ідентифікатор|ідентифікація|квадрат «ідентифікатор»|кнопка "ID"|кнопка ідентифікації|особистість
🆕	кнопка "NEW"	квадрат «новий»|кнопка "NEW"|новий
🆖	кнопка "NG"	абсолютно ні|квадрат «негативно»|кнопка "NG"|негативно
🆗	кнопка «ОК»	OK|ОК|окей
🆘	кнопка "SOS"	sos|допомога|квадрат «sos»|кнопка "SOS"
🆙	кнопка "UP!"	вгору|значок|кнопка "UP!"|кнопка «вгору!»
🆚	кнопка "VS"	квадрат «проти»|кнопка "VS"|проти
🈁	кнопка "тут" японською	ієрогліф|квадрат з ідеограмою «тут»|кнопка "тут" японською|японський
🈚	кнопка "безкоштовно" японською	ієрогліф|квадрат з ідеограмою «заперечення»|кнопка "безкоштовно" японською|японський
🈯	кнопка "зарезервовано" японською	ієрогліф|кнопка "зарезервовано" японською|японський
🈲	кнопка "заборонено" японською	ієрогліф|квадрат з ідеограмою «заборонено»|кнопка "заборонено" японською|японський
🈳	кнопка "вільно" японською	ідеограма|ієрогліф|китайський|кнопка "вільно" японською|пустота|японський
🈴	кнопка "достатня оцінка" японською	ієрогліф|китайський|кнопка "достатня оцінка" японською|Японія|Японський
🈵	кнопка "місць немає" японською	квадрат з ідеограмою «заповненість»|китайський|кнопка "місць немає" японською|японський ієрогліф
🈶	кнопка "не безкоштовно" японською	ієрогліф|квадрат з ідеограмою «існує»|кнопка "не безкоштовно" японською|японський
🈸	кнопка "заявка" японською	ієрогліф|квадрат з ідеограмою «подати заявку»|китайський|кнопка "заявка" японською
🈹	кнопка "знижка" японською	ієрогліф|квадрат з ідеограмою «поділити»|кнопка "знижка" японською|японський
🈺	кнопка "робота" японською	ієрогліф|квадрат з ідеограмою «робота»|китайський|кнопка "робота" японською
🉐	кнопка "угода" японською	ієрогліф|кнопка "угода" японською|Японія|японський
🉑	кнопка "прийнятно" японською	ієрогліф|китайський|кнопка "прийнятно" японською|коло з ідеограмою «прийняти»
🌀	циклон	запаморочення|погода|смерч|спіраль|тайфун|циклон
🌁	туманно	верхівка|гора|погода|топ|туман|туманно
🌂	складена парасолька	дощ|одяг|парасолька|погода|складена парасолька
🌃	зоряна ніч	зірка|зоряна ніч|ніч|погода
🌄	схід сонця над горами	гора|погода|ранок|сонце|схід|схід сонця над горами
🌅	схід сонця	погода|ранок|світанок|сонце|схід сонця
🌆	місто в сутінках	будівля|вечір|захід|ландшафт|місто|місто в сутінках|сутінки
🌇	захід сонця	будівля|захід сонця|місто|сонце|сутінки
🌈	веселка	бісексуал|гей|гендер|глбт|дощ|квір|лгбт|лесбіянка|погода|природа|транс
🌉	міст уночі	golden gate|міст|міст уночі|ніч|погода
🌊	хвиля	вода|океан|погода|хвиля
🌋	вулкан	виверження|вулкан|гора|лава
🌌	Чумацький шлях	космос|погода|чумацький шлях|Чумацький шлях
🌍	глобус, що показує Європу й Африку	африка|Африка|глобус|глобус, що показує Європу й Африку|європа|Європа|земля|світ|що показує Європу й Африку
🌎	глобус, що показує Америки	Америка|глобус|глобус, що показує Америки|Західна півкуля|земля|планета|світ|що показує Америки
🌏	глобус, що показує Азію і Австралію	австралія|Австралія|азія|Азія|глобус|глобус, що показує Азію і Австралію|земля|світ|що показує Азію і Австралію
🌐	земна куля з меридіанами	глобус|глобус із меридіанами|земля|земна куля з меридіанами|меридіани|світ
🌑	молодий місяць	космос|місяць|молодий|погода|темний
🌒	місяць у першій чверті	зростаючий|космос|місяць|місяць у першій чверті|молодий півмісяць|півмісяць|погода
🌓	перша чверть місяця	космос|луна|місяць|місяць у першій чверті|перша чверть місяця|погода|чверть
🌔	місяць у другій чверті	зростаючий|космос|місяць|місяць у другій чверті|погода|серпоподібний
🌕	повний місяць	космос|місяць|повний|погода
🌖	місяць у третій чверті	космос|місяць|місяць у третій чверті|погода|серпоподібний|спадаючий
🌗	остання чверть місяця	затемнення|космос|місяць|місяць в останній чверті|небо|остання чверть місяця|планета|погода|супутник|чверть
🌘	місяць у четвертій чверті	космос|місяць|місяць у четвертій чверті|півмісяць|погода|спадаючий|старий місяць
🌙	серп місяця	космос|місяць|півмісяць|погода|серп місяця
🌚	молодий місяць з обличчям	космос|місяць|молодий місяць з обличчям|обличчя|погода
🌛	перша чверть місяця з обличчям	космос|місяць|обличчя|перша чверть місяця з обличчям|погода|чверть
🌜	остання чверть місяця з обличчям	космос|місяць|обличчя|остання чверть місяця з обличчям|погода|чверть
🌝	повний місяць з обличчям	місяць|обличчя|повний|повний місяць з обличчям|яскравий
🌞	сонце з обличчям	весна|космос|літо|обличчя|погода|сонце|сонце з обличчям|яскравий
🌟	сяйна зірка	блискучий|зірка|іскра|світиться|світло|сяє|сяйна зірка
🌠	метеор	зірка|космос|метеор|небо|падає
🌭	хот-дог	їжа|сосиска|сосиска в тісті|хот-дог
🌮	тако	їжа|мексика|Мексика|мексиканська їжа|мексиканська кухня|тако|такос
🌯	буріто	буріто|їжа|мексика|Мексика
🌰	каштан	горіх|каштан|рослина
🌱	сіянець	листя|паросток|рослина|саджанець|сіянець
🌲	вічнозелене дерево	вічнозелена рослина|вічнозелене дерево|дерево|рослина|сосна|ялинка
🌳	листяне дерево	дерево|листяне дерево|листяний|опадає|рослина
🌴	пальма	дерево|пальма|рослина|тропіки
🌵	кактус	кактус|пустеля|рослина
🌷	тюльпан	квітка|рожевий тюльпан|рослина|тюльпан
🌸	вишневий цвіт	вишневий цвіт|вишня|квітка|рослина|цвіт|цвіт вишні
🌹	троянда	квітка|рослина|троянда|червона троянда
🌺	гібіскус	гібіскус|квітка|рослина
🌻	соняшник	квітка|рослина|сонце|сонях|соняшник
🌼	жовта квітка	жовта квітка|квітка|ромашка|рослина
🌽	качан кукурудзи	їжа|качан|качан кукурудзи|кукурудза|маїс
🌾	сніпок рису	колос|колосся рису|пшениця|рис|рисовий колосок|рослина|сніпок рису
🌿	лікарська рослина	листок|листя|лікарська рослина|рослина
🍀	чотирилисткова конюшина	4|конюшина|листок|листя|рослина|фортуна|чотири|чотирилиста конюшина|чотирилисткова конюшина|щастить
🍁	кленовий листок	дерево|клен|кленовий листок|листок|листя|опадати|осінь|рослина
🍂	опале листя	листок|листопад|листя|опадати|опале листя|опалий листок|осінь|рослина
🍃	листя, що кружляє за вітром	вітер|дути|кружляти|листок|листя|листя, що кружляє за вітром|рослина|що кружляє за вітром
🍄	гриб	гриб|гриб із шапинкою|мухомор|плодове тіло
🍄‍🟫	коричневий гриб	вегетаріанська їжа|вегетаріанський|гарнір|гриби|їжа|коричневий гриб|печериця|трюфель|шампіньйон|шиїтаке
🍅	томат	овоч|плід|помідор|сеньйор помідор|томат|червоний помідор
🍆	баклажан	баклажан|їжа|овоч
🍇	виноград	виноград|виноградина|виноградини|їжа|плід|ягоди
🍈	диня	диня|їжа|плід|фрукт
🍉	кавун	їжа|кавун|літо|плід
🍊	танжерин	їжа|мандарин|оранжевий|плід|помаранч|танжерин|фрукт
🍋	лимон	жовтий лимон|лимон|плід|цитрус
🍋‍🟩	лайм	зелений|кислинка|коктейль|лайм|лаймовий пиріг|мохіто|сальса|цитрусовий
🍌	банан	банан|їжа|плід|фрукт
🍍	ананас	ананас|їжа|плід|фрукт
🍎	червоне яблуко	їжа|плід|фрукт|червоне яблуко|червоний|яблуко
🍏	зелене яблуко	епл|зелене яблуко|зелений|їжа|плід|фрукт|яблуко
🍐	груша	груша|їжа|плід|фрукт
🍑	персик	абрикос|їжа|персик|плід|фрукт
🍒	вишні	вишні|вишня|їжа|плоди|червоні|черешня|ягоди
🍓	полуниця	їжа|плід|полуниця|ягода
🍔	гамбургер	бургер|гамбургер|їжа|чизбургер
🍕	піца	їжа|піца|сир|шматок
🍖	м’ясо на кістці	їжа|кістка|м’ясо|м’ясо на кістці
🍗	ніжка свійської птиці	їжа|кістка|курка|ніжка|ніжка свійської птиці|птиця|ципля "гриль"
🍘	рисовий крекер	їжа|крекер|рис|рисовий крекер
🍙	рисова кулька	їжа|кулька|рис|рисова кулька|японський
🍚	приготований рис	варений|їжа|приготований рис|рис
🍛	рис із карі	їжа|карі|рис|рис із карі|рисовий суп
🍜	миска, з якої піднімається пара	з якої піднімається пара|їжа|локшина|миска|миска, з якої піднімається пара|парувати|рамен|суп
🍝	спагеті	їжа|італійська кухня|паста|спагеті
🍞	хліб	буханець|їжа|паляниця|хліб|хлібина
🍟	картопля фрі	картопля|фрі
🍠	печений батат	батат|їжа|овоч|печений батат|печений топінамбур|смажити
🍡	рисові кульки на шпажці	данго|десерт|рисові кульки на шпажці|солодкий|шампур|японський
🍢	оден	їжа|кебаб|морський|оден|шампур
🍣	суші	їжа|суші
🍤	смажена креветка	їжа|креветка|смажена креветка|смажений|темпура
🍥	рибний рулет зі спіральним візерунком	випічка|рибний|рибний рулет зі спіральним візерунком|рулет
🍦	морозиво в ріжку	десерт|м’яке морозиво|м’який|морозиво|морозиво в ріжку|пломбир|солодкий
🍧	льодова стружка	десерт|лід|льодова стружка|морозиво|солодкий|стружка
🍨	морозиво	десерт|їжа|морозиво|солодкий
🍩	пончик	десерт|їжа|пончик|солодкий
🍪	печиво	десерт|печиво|солодкий|шоколадне печиво
🍫	плитка шоколаду	десерт|плитка|плитка шоколаду|солодкий|шоколад
🍬	цукерка	десерт|солодкий|цукерка
🍭	льодяник	десерт|льодяник|солодкий|цукерка
🍮	заварний крем	десерт|заварний крем|їжа|пудинг|солодкий
🍯	горщик із медом	горщик|горщик із медом|мед|солодкий
🍰	тістечко	випічка|десерт|солодкий|тістечко|торт|шматок
🍱	обід у коробці	бенто|їжа|набір суші|обід у коробці|суші|упаковка
🍲	горщик з їжею	горщик|горщик з їжею|їжа|овочевий суп|перше|рагу|суп|суп з локшиною
🍳	готування їжі	готування їжі|їжа|пательня|сковорода|смажити|сніданок|яєчня|яйце
🍴	виделка та ніж	вечеря|їжа|їсти|кулінарія|обід|ресторан|смакота|смачно|сніданок|столові прибори
🍵	чайна чашка без вушка	гарячий|зелений чай|їжа|крем-суп|напій|піала|суп|чай|чайна чашка без вушка|чашка
🍶	саке	бар|напій|пити|пляшка|саке|чашка
🍷	келих для вина	бар|вино|келих|келих для вина|напій|пити
🍸	бокал для коктейлю	бар|бокал|бокал для коктейлю|коктейль|мартіні|пити
🍹	тропічний напій	бар|коктейль|пити|тропічний|тропічний напій
🍺	кухоль із пивом	бар|будьмо!|кухоль|кухоль із пивом|пиво|пити
🍻	кухлі з пивом, що цокаються	алкоголь|бар|кухлі|напої|пиво|пиття|тости|цокання|цокатися
🍼	пляшечка для немовляти	годування|молоко|немовля|пити|пляшечка|пляшечка для немовляти
🍾	пляшка з корком, що вилітає	бар|вино|відкорковувати|ігристе|корок|пити|пляшка|стріляти|тиск|шампанське
🍿	попкорн	попкорн
🎀	бант зі стрічки	бант|бант зі стрічки|рожевий бант|святкування|стрічка
🎁	подарунок	дарунок|запакований|коробка|подарунок|святкування|сюрприз
🎂	торт на день народження	бажання|випічка|день|десерт|народження|свічки|святковий торт|святкування|солодкий|солодощі|торт|торт на день народження
🎃	ліхтар-гарбуз	гарбуз|геловін|ліхтар|ліхтар-гарбуз|святкування|хелловін|хеллоуін|хеловін
🎄	різдвяна ялинка	дерево|Новий рік|різдво|різдвяна ялинка|святкування|ялинка
🎅	Санта Клаус	дід|дід Мороз|казка|Новий рік|різдво|Різдво|Санта Клаус|Святий Миколай|святкування
🎆	феєрверки	салют|святкування|феєрверки
🎇	бенгальський вогонь	бенгальський вогонь|іскра|святкування|феєрверк|феєрверки
🎈	повітряна кулька	повітряна кулька|святкування
🎉	хлопавка	вечірка|вітання|святкування|сюрприз|хлопавка
🎊	кулька з конфеті	конфеті|кулька з конфеті|святкування
🎋	танабата, гілка тандзаку	банер|гілка тандзаку|дерево|рослина|святкування|танабата|танабата, гілка тандзаку|японське святкування|японський
🎌	схрещені прапори	навхрест|прапорці|схрещені|урочистість|японські
🎍	прикраси на ялинку	бамбук|прикраси на ялинку|рослина|святкування|сосна|японський
🎎	японські ляльки	лялька|ляльки|святкування|фестиваль|японський|японські ляльки
🎏	вітровказ у формі коропів	вітровказ у формі коропів|карп|святкування|транспарант|транспарант із карпами
🎐	китайські дзвіночки	вітер|дзвіночки|дзвоник|китайські дзвіночки|святкування
🎑	церемонія вшанування місяця	місяць|святкування|церемонія|церемонія вшанування місяця
🎒	шкільний рюкзак	навчання|ранець|сумка|шкільний портфель|шкільний рюкзак|школа
🎓	квадратна академічна шапочка	академік|бонет|випуск|капелюх|квадратна академічна шапочка|одяг|професор|шапка
🎠	коник на каруселі	карусель|кінь|коник на каруселі|лицар|лицарський кінь
🎡	чортове колесо	колесо|колесо огляду|огляд|парк розваг|чортове колесо
🎢	американські гірки	американський|американські гірки|гірки|парк розваг
🎣	рибацька вудка	вудка|вудка і риба|риба|рибалка|рибацька вудка
🎤	мікрофон	караоке|мікрофон
🎥	кінокамера	зйомка|камера|кіно|кінокамера|фільм
🎦	кінематограф	зйомка|камера|кінематограф|кіно|фільм
🎧	навушники	навушники
🎨	палітра художника	картина|кольори|мистецтво|музей|палітра|палітра художника
🎩	циліндр (капелюх)	капелюх|одяг|фокус|циліндр|циліндр (капелюх)|чоловік
🎪	циркове шатро	намет|цирк|циркове шатро|цирковий намет
🎫	квиток	вхідний|квиток
🎬	кінохлопавка	зйомка|кінохлопавка|фільм|хлопавка
🎭	театральне мистецтво	бал|венеціанський|венеційський|вистава|маска|маскарад|театр
🎮	ігровий контролер	відеогра|гра|джойстик|ігровий контролер|контролер|управління
🎯	мішень із прямим влученням	«яблучко»|в яблучко|влучення|гра|дротик|мішень із прямим влученням|пряме попадання|точно|ціль
🎰	гральний автомат	азарт|Вегас|везіння|виграш|гра|гральний автомат|джекпот|залежність|ігровий|фарт
🎱	більярдна куля 8	8|більярд|більярдна куля|більярдна куля 8|вісім|куля|спорт
🎲	гральна кість	гра|гральна кість|гральний кубик|казино|кубик
🎳	куля і кеглі для боулінгу	боулінг|гра|куля і кеглі для боулінгу|м’яч|спорт
🎴	гральні карти з квітами (ханафуда)	гра|гральні карти з квітами|гральні карти з квітами (ханафуда)|грати|карта|ханафуда|японський
🎵	музична нота	музична нота|музичний|нота
🎶	музичні ноти	музика|музичний|музичні ноти|нота|ноти
🎷	саксофон	інструмент|музика|музичний|саксофон
🎸	гітара	гітара|інструмент|музичний
🎹	музична клавіатура	інструмент|клавіатура|музична клавіатура|музичний|піаніно
🎺	труба	інструмент|музичний|труба
🎻	скрипка	інструмент|музичний|скрипка
🎼	партитура	музичний|ноти|партитура|скрипковий ключ
🎽	бігова теніска	біг|бігова теніска|сорочка|спортивна форма|стрічка|футболка
🎾	тенісний м’яч	м’яч|ракетка|спорт|теніс|тенісний м’яч
🎿	лижі	лижі|сніг|спорт
🏀	баскетбольний м’яч	баскетбольний м’яч|кільце|м’яч|спорт
🏁	картатий прапор	картатий|картатий прапор|клічастий|перегони|прапор для перегонів|фініш
🏂	сноубордист	лижі|сніг|сноуборд|сноубордист|спорт
🏃	людина, що біжить	біг|змагання|людина|марафон|навздогін|поспішати|спорт|спортсмен|швидкий
🏄	людина, що займається серфінгом	людина|океан|пляж|серфер|серфінг|спортсмен|хвилі
🏅	спортивна медаль	золота медаль|медаль|спортивна медаль
🏆	приз	виграш|кубок|нагорода|перемога|приз|трофей
🏇	кінні перегони	біговий кінь|жокей|кінні перегони|кінь|перегони|спорт
🏈	мʼяч для американського футболу	американський|м’яч|м’яч для гри в американський футбол|мʼяч для американського футболу|спорт|футбол
🏉	мʼяч для регбі	американський футбол|м’яч|м’яч для гри в регбі|мʼяч для регбі|регбі|спорт|футбол
🏊	людина, що пливе	вода|водний спорт|людина|плавання|плавати|плавець|спорт|спортсмен|триатлон
🏏	бита і мʼяч для крикету	бита|бита і мʼяч для крикету|гра|крикет|м’яч|спорт
🏐	волейбольний м’яч	волейбол|волейбольний м’яч|гра|м’яч|спорт
🏑	ключка і мʼяч для хокею на траві	гра|ключка|ключка і мʼяч для хокею на траві|м’яч|поле|хокей|хокей на траві
🏒	ключка і шайба для хокею	гра|ключка|ключка і шайба для хокею|лід|спорт|хокей|шайба
🏓	ракетка і кулька для пінг-понгу	кулька|пінг-понг|ракетка|ракетка і кулька для пінг-понгу|спорт|стіл|теніс
🏠	будинок	будинок|будівля|вдома|дім
🏡	будинок із садом	будинок|будинок із садом|будівля|дім|сад
🏢	офісна будівля	будівля|офісна будівля
🏣	японське поштове відділення	будівля|пошта|японська пошта|японське поштове відділення|японський
🏤	поштове відділення	будівля|європейський|пошта|поштове відділення
🏥	лікарня	будівля|госпіталь|лікар|лікарня|медицина
🏦	банк	банк|будівля
🏧	символ банкомата	банківський автомат|банкомат|готівка|знак банкомата|зняти гроші|символ банкомата|термінал самообслуговування
🏨	готель	будівля|готель
🏩	готель кохання	будівля|готель|готель для закоханих|кохання|мотель
🏪	цілодобовий магазин	будівля|магазин|цілодобовий
🏫	школа	будівля|школа
🏬	універмаг	банк|будівля|офіс|універмаг
🏭	фабрика	будівля|завод|фабрика
🏮	червоний паперовий ліхтар	бар|ліхтар|ліхтар ізакайа|світло|червоний|червоний паперовий ліхтар|японський
🏯	японський замок	будівля|пагода|японський замок
🏰	замок	будівля|європейська|замок|фортеця
🏴	чорний прапор	майорить|чорний прапор
🏸	ракетка і волан для бадмінтону	бадмінтон|волан|воланчик|гра|ракетка|ракетка і волан для бадмінтону|спорт
🏹	лук і стріла	зброя|знаряддя|зодіак|лук|лук і стріла|лучник|стріла|стрілець|Стрілець
🏺	амфора	амфора|водолій|глек|зодіак|кулінарія|пити
🐀	щур	пацюк|тварина|щур
🐁	миша	миша|тварина
🐂	бик	бик|віл|зодіак|тварина|телець
🐃	буйвіл	буйвіл|тварина
🐄	корова	молоко|му|тварина|ферма
🐅	тигр	тварина|тигр|хижак
🐆	леопард	дика кішка|леопард|тварина|хижак
🐇	кролик	заєць|кріль|кролик|тварина
🐈	кіт	домашній улюбленець|кіт|коша|тварина
🐈‍⬛	чорний кіт	кіт|кішка|мяу|невдаха|невдача|нещастя|погана прикмета|тварина|чорний
🐉	дракон	дракон|казка
🐊	крокодил	алігатор|крокодил|тварина|хижак
🐋	кит	кит
🐌	равлик	павлик-равлик|петрик|природа|равлик|слимак|тварина
🐍	змія	гадюка|змієносець|змій|змія|зодіак
🐎	кінь	верхогони|кінні|кінь|перегони|скачки|тварина
🐏	баран	баран|вівця|гороскоп|зодіак|овен|тварина
🐐	цап	гороскоп|зодіак|козел|козеріг|тварина|цап
🐑	вівця	вівця|вовна|тварина|ферма|ягня
🐒	мавпа	мавпа|тварина
🐓	півень	когут|півень|птах
🐔	курка	квочка|курка|курча|птах
🐕	собака	домашня тварина|пес|собака|тварина
🐕‍🦺	службовий собака	допомога|доступність|службовий|собака|спеціальні можливості|супровід|тварина
🐖	свиня	льоха|порося|свиноматка|свиня|тварина
🐗	вепр	вепр|кабан|кнур|тварина
🐘	слон	слон|тварина
🐙	восьминіг	восьминіг
🐚	морська мушля	морська мушля|мушля|спіральна мушля|спіральний
🐛	комаха	гусінь|комаха|комашина|комашка
🐜	мураха	комаха|мураха
🐝	бджола	бджола|комаха
🐞	сонечко	жучок|комаха|корівка|сонечко
🐟	риба	гороскоп|зодіак|риба|риби
🐠	тропічна риба	море|океан|риба|тропічна риба|тропічний
🐡	риба-куля	риба|риба-їжак|риба-куля
🐢	черепаха	тварина|черепаха
🐣	курча, що вилуплюється	Великдень|вилуплюватися|курча|курча, що вилуплюється|новонароджений|прокльовуватися|птах|пташка|що вилуплюється
🐤	мале курча	курка|курча|курчатко|мале курча
🐥	курча, що стоїть	анфас|курча|орнітологія|пискля|пташа|пташка|тварина
🐦	птах	птах|пташка
🐦‍⬛	чорний птах	ворон|дзьоб|дрізд|каркати|крук|птах|тварина|чорний
🐦‍🔥	фенікс	відродження|жар-птиця|нове життя|оживлення|ожити|оновлення|перевтілення|повстати|слава|фантастика|фенікс
🐧	пінгвін	пінгвін|птах
🐨	коала	ведмідь|морда|тварина
🐩	пудель	пес|пудель|собака|тварина
🐪	одногорбий верблюд	верблюд|горб|дромадер|одногорбий|пустеля|Сахара|тварина
🐫	двогорбий верблюд	бактріан|верблюд|горб|двогорбий|караван|пустеля|тварина
🐬	дельфін	дельфін|плавець
🐭	морда миші	миша|мишача морда|морда|морда миші|пацюк|тварина
🐮	морда корови	коров’яча морда|коровʼяча морда|корова|морда|морда корови|тварина
🐯	морда тигра	морда|морда тигра|тварина|тигр|тигряча морда|хижак
🐰	морда кроля	заєць|кролик|кроляча морда|морда|морда кроля|тварина
🐱	морда кота	домашня тварина|кіт|котяча морда|морда|морда кота|тварина
🐲	голова дракона	голова|голова дракона|дракон|зелений дракон|казка
🐳	кит, що пускає фонтан	кит|обличчя|океан|пляж|тварина|фонтан
🐴	голова коня	голова коня|кінь|кобила|лоша|морда|тварина
🐵	морда мавпи	мавпа|мавпяча морда|морда|морда мавпи|тварина
🐶	морда собаки	морда|морда собаки|пес|собака|собача морда|тварина
🐷	рило свині	морда|порося|рило свині|свиня|свиняче рило|тварина
🐸	жаба	болото|жабʼяча|жаба|жабина|морда|тварина
🐹	хомʼяк	домашня тварина|морда|морда хом’яка|тварина|хом’як|хом’якова|хомʼяк
🐺	вовк	вовк|вовча|морда|тварина|хижак
🐻	ведмідь	ведмедева|ведмежа|ведмежача|ведмідь|морда|тварина
🐼	панда	морда|морда панди|панда|тварина
🐽	свинячий пʼятак	морда|рило|свиня|свиняче рильце|свинячий пʼятак
🐾	сліди лап	відбитки лап|лапа|слід|сліди лап
👀	очі	обличчя|око|очі|тіло
👂	вухо	вухо|слухати|слухаю|тіло
👃	ніс	ніс|тіло
👄	рот	губи|помада|поцілунок|рот|тіло|чутлива
👅	язик	тіло|язик
👆	палець тильним боком, що вказує вгору	вказівний|палець|палець тильним боком|палець тильним боком, що вказує вгору|показувати|рука|угору|указувати|що вказує вгору
👇	палець тильним боком, що вказує вниз	вказівний|дивись нижче|палець|палець тильним боком|палець тильним боком, що вказує вниз|рука|тильний|указувати|униз|що вказує вниз
👈	палець тильним боком, що вказує вліво	вліво|палець|показувати|рука|тильний бік|що вказує
👉	палець тильним боком, що вказує вправо	вказівний|палець|палець тильним боком|палець тильним боком, що вказує вправо|показувати|рука|указувати|управо|що вказує вправо
👊	кулак, що насувається	абсолютно|бро|бум|згода|кулак|правильно|рок|рука|стиснутий|удар
👋	рука махає	бувай|вітання|вітаю|дай пʼять|до зустрічі|долоня|махати|помах|привіт|рука|рука махає|тіло
