⌚	Armbanduhr	Armbanduhr|Uhr|Zeit
❔	weißes Fragezeichen	Frage|Fragezeichen|Satzzeichen|warum|weiß|weißes Fragezeichen
❕	weißes Ausrufezeichen	Ausrufezeichen|muss|Satzzeichen|weiß|weißes Ausrufezeichen
❗	rotes Ausrufezeichen	!|Ausrufezeichen|rot|Satzzeichen
➕	plus	+|addieren|mathe|Plus|Pluszeichen
➖	minus	-|−|Mathe|Minus|Minuszeichen
➗	geteilt durch	÷|Division|Divisionszeichen|geteilt|geteilt durch|Geteiltzeichen|Mathe
➰	Schleife	Schleife
➿	Doppelschleife	blau|Doppelschleife|Rechteck|Schleife
⬛	großes schwarzes Quadrat	großes schwarzes Quadrat|Großes schwarzes Quadrat|Quadrat|schwarz
⬜	großes weißes Quadrat	großes weißes Quadrat|Großes weißes Quadrat|Quadrat|weiß
⭐	weißer mittelgroßer Stern	astronomie|gelber Stern|Himmel|Stern|weißer mittelgroßer Stern
⭕	hohler roter Kreis	großer Kreis|Großer Kreis|hohler roter Kreis|Kreis|o|rot
🀄	Mahjong-Stein	Mahjong|Mahjong-Stein|roter Drache|Spiel
🃏	Jokerkarte	Joker|Jokerkarte|Spielkarte
🆎	Großbuchstaben AB in rotem Quadrat	ab|Blut|Blutgruppe|Großbuchstaben AB in rotem Quadrat|negativ|positiv
🆑	Großbuchstaben CL in rotem Quadrat	CL|Großbuchstaben CL in rotem Quadrat
🆒	Wort „Cool“ in blauem Quadrat	Cool|Wort „Cool“ in blauem Quadrat
🆓	Wort „Free“ in blauem Quadrat	Free|Wort „Free“ in blauem Quadrat
🆔	Großbuchstaben ID in lila Quadrat	Großbuchstaben ID in lila Quadrat|ID
🆕	Wort „New“ in blauem Quadrat	Neu|New|Wort „New“ in blauem Quadrat
🆖	Großbuchstaben NG in blauem Quadrat	Großbuchstaben NG in blauem Quadrat|NG
🆗	Großbuchstaben OK in blauem Quadrat	Großbuchstaben|keycap|OK|okay|Taste|Tastenkappe
🆘	SOS-Zeichen	Hilfe|SOS|SOS-Zeichen
🆙	Schriftzug „UP!“ im blauen Quadrat	Keycap|Taste|Tastenkappe|UP|UP!
🆚	Schriftzug VS in orangem Quadrat	gegen|Taste|versus|VS
🈁	Schriftzeichen „koko“	„koko“|japanisches Schriftzeichen|Schriftzeichen „koko“
🈚	Schriftzeichen für „gratis“	gratis|japanisches Schriftzeichen|Schriftzeichen für „gratis“|Schriftzeichen für „Verhandlung“|Verhandlung
🈯	Schriftzeichen für „reserviert“	Finger|japanisches Schriftzeichen|reserviert|Schriftzeichen für „Finger“|Schriftzeichen für „reserviert“
🈲	Schriftzeichen für „verbieten“	japanisches Schriftzeichen|Kanji|Schriftzeichen für „verbieten“|verbieten
🈳	Schriftzeichen für „Zimmer frei“	chinesisches Schriftzeichen|japanisches Schriftzeichen|leer|Schriftzeichen für „leer“|Schriftzeichen für „Zimmer frei“|Zimmer frei
🈴	Schriftzeichen für „Note zum Bestehen“	bestanden|bestehen|chinesisches Schriftzeichen|japanisches Schriftzeichen|Schriftzeichen für „Note zum Bestehen“|Schriftzeichen für „zusammen“|zusammen
🈵	Schriftzeichen für „Kein Zimmer frei“	belegt|besetzt|chinesisches Schriftzeichen|Fülle|japanisches Schriftzeichen|Kanji|kein Zimmer frei|Schriftzeichen für „Fülle“|Schriftzeichen für „Kein Zimmer frei“
🈶	Schriftzeichen für „nicht gratis“	berechnen|existieren|japanisch|nicht gratis|Schriftzeichen|Taste
🈸	Schriftzeichen für „anwenden“	anwenden|chinesisches Schriftzeichen|japanisches Schriftzeichen|Schriftzeichen für „anwenden“
🈹	Schriftzeichen für „Rabatt“	japanisches Schriftzeichen|Rabatt|Schriftzeichen für „Rabatt“|Schriftzeichen für „teilen“|teilen
🈺	Schriftzeichen für „Geöffnet“	Betrieb|chinesisches Schriftzeichen|geöffnet|japanisches Schriftzeichen|Schriftzeichen für „Betrieb“|Schriftzeichen für „Geöffnet“
🉐	Schriftzeichen für „Schnäppchen“	japanisches Schriftzeichen|Schnäppchen|Schriftzeichen für „Schnäppchen“|Schriftzeichen für „Vorteil“|Vorteil
🉑	Schriftzeichen für „akzeptieren“	akzeptieren|japanisch|Schriftzeichen
🌀	Wirbel	Spirale|Wirbel|Wirbelsturm
🌁	neblig	Nebel|neblig|Wetter
🌂	geschlossener Regenschirm	geschlossener Regenschirm|Geschlossener Regenschirm|Regen|Regenschirm
🌃	Sternenhimmel	City|Hochhäuser|Nacht|Skyline|Stadt|Sterne|Sternenhimmel
🌄	Sonnenaufgang über Bergen	Berge|Sonnenaufgang|Sonnenaufgang über Bergen
🌅	Sonnenaufgang über dem Meer	Meer|Sonnenaufgang|Sonnenaufgang über dem Meer
🌆	Abendstimmung in der Stadt	Abendstimmung in der Stadt|Hochhäuser|New York|Skyline|Sonnenaufgang|Sonnenuntergang|Wolkenkratzer
🌇	Sonnenuntergang in der Stadt	Großstadt|Hochhäuser|Morgenrot|Sonnenaufgang|Sonnenuntergang|Sonnenuntergang in der Stadt|Wolkenkratzer
🌈	Regenbogen	Regenbogen|Wetter
🌉	Brücke vor Nachthimmel	Brücke|Brücke vor Nachthimmel|Golden Gate|Nacht|nachts
🌊	Welle	Meer|Welle
🌋	Vulkan	Ausbruch|Berg|Lava|Vulkan|Vulkanausbruch|Wetter
🌌	Milchstraße	Galaxie|Milchstraße|Universum
🌍	Globus mit Europa und Afrika	Afrika|Erde|Europa|Globus mit Europa und Afrika|Weltkugel
🌎	Globus mit Amerika	Erde|Globus|Globus mit Amerika|Nordamerika|Südamerika|Weltkugel
🌏	Globus mit Asien und Australien	Asien|Australien|Erde|Globus|Globus mit Asien und Australien|Weltkugel
🌐	Globus mit Meridianen	Breitengrad|Globus mit Meridianen|Längengrad
🌑	Neumond	Mond|Neumond
🌒	erstes Mondviertel	erstes Mondviertel|Erstes Mondviertel|Mond|zunehmend
🌓	zunehmender Halbmond	Halbmond|Mond|zunehmend|zunehmender Halbmond|Zunehmender Halbmond
🌔	zweites Mondviertel	Mond|zunehmend|zweites Mondviertel|Zweites Mondviertel
🌕	Vollmond	Mond|Vollmond
🌖	drittes Mondviertel	abnehmend|drittes Mondviertel|Drittes Mondviertel|Mond
🌗	abnehmender Halbmond	abnehmend|abnehmender Halbmond|Abnehmender Halbmond|Halbmond
🌘	letztes Mondviertel	abnehmend|letztes Mondviertel|Letztes Mondviertel|Mond|Nacht
🌙	Mondsichel	Mond|Mondsichel|Nacht
🌚	Neumond mit Gesicht	Gesicht|Mond|Mondgesicht|Neumond|Neumond mit Gesicht
🌛	Mondsichel mit Gesicht links	Gesicht|Mond|Mondsichel|Mondsichel mit Gesicht links|Weltall
🌜	Mondsichel mit Gesicht rechts	Gesicht|Mondsichel|Mondsichel mit Gesicht rechts|Nacht
🌝	Vollmond mit Gesicht	Gesicht|Vollmond|Vollmond mit Gesicht
🌞	Sonne mit Gesicht	Gesicht|Sonne|Sonne mit Gesicht|Sonnengesicht|Sonnenschein
🌟	funkelnder Stern	funkeln|funkelnder Stern|Funkelnder Stern|glitzern|Stern
🌠	Sternschnuppe	Himmel|Sternschnuppe
🌭	Hotdog	Essen|Frankfurter|Hot Dog|Hotdog|Wurst|Würstchen
🌮	Taco	Essen|mexikanisch|Taco
🌯	Burrito	Burrito|essen|mexikanisch
🌰	Kastanie	Kastanie|Marone
🌱	Spross	junge Pflanze|Spross
🌲	Nadelbaum	Baum|Nadelbaum|Pflanze|Tannenbaum
🌳	Laubbaum	Baum|Blätter|grün|Laub|Laubbaum|Pflanze|Wald
🌴	Palme	Baum|Kokusnuss|Oase|Palme|Pflanze|Strand|Tropen
🌵	Kaktus	Dürre|Kaktus|Natur|Pflanze|Trockenzeit|Wüste
🌷	Tulpe	Blume|Blüte|Pflanze|Tulpe
🌸	Kirschblüte	Blume|Blüte|Kirschblüte|Kirsche|Pflanze
🌹	Rose	Blume|Blüte|Pflanze|Rose
🌺	Hibiskus	Blume|Blüte|Hibiskus|Pflanze|Rosa
🌻	Sonnenblume	Blume|Blüte|Pflanze|Sonne|Sonnenblume
🌼	gelbe Blüte	Blume|Blüte|gelbe Blüte|Gelbe Blüte|Pflanze
🌽	Maiskolben	Gemüse|Mais|Maiskolben
🌾	Reisähre	Ähre|Pflanze|Reis|Reisähre|Reispflanze
🌿	Kräuter	Blätter|Kräuter|Pflanze
🍀	Glücksklee	Blatt|Glück|Glücksklee|Klee|Kleeblatt|Pflanze|Silverster|vier|vierblättrig|Vierblättriges Kleeblatt
🍁	Ahornblatt	Ahorn|Ahornblatt|Blatt|Herbst|Laub|Pflanze
🍂	Laub	Blatt|Blätter|Fallendes Laub|Herbst|Laub|Pflanze
🍃	Blätter im Wind	Blatt|Blätter|Blätter im Wind|Laub|Pflanze|Wind
🍄	Fliegenpilz	Fliegenpilz|giftig|Pilz
🍄‍🟫	brauner Pilz	braun|Essen|Fungus|Gemüse|Lebensmittel|Natur|Pflanze|Pilz|Wald
🍅	Tomate	Essen|Gemüse|Obst|Tomate
🍆	Aubergine	Aubergine|Gemüse
🍇	Trauben	Frucht|Obst|Traube|Trauben|Wein
🍈	Honigmelone	cantaloupe|Frucht|Honigmelone|Melone|Obst
🍉	Wassermelone	Frucht|Melone|Obst|Wasser|Wassermelone
🍊	Mandarine	Apfelsine|Frucht|Mandarine|Obst|Orange|Vitamin
🍋	Zitrone	Frucht|Obst|sauer|Zitrone|Zitrusfrucht
🍋‍🟩	Limette	Cocktail|Essen|Frucht|Limette|Obst|Saft|sauer|Tequila|tropisch|Zitrusfrucht
🍌	Banane	Banane|Frucht|Obst|Schale
🍍	Ananas	Ananas|Frucht|Obst
🍎	roter Apfel	Apfel|Frucht|Obst|rot|roter Apfel
🍏	grüner Apfel	Apfel|Frucht|gesund|grün|grüner Apfel|Obst
🍐	Birne	Birne|Frucht|Obst
🍑	Pfirsich	Frucht|Obst|Pfirsich
🍒	Kirschen	Frucht|Kirsche|Kirschen|Obst
🍓	Erdbeere	Beere|Erdbeere|Essen|Frucht|Obst
🍔	Hamburger	Burger|Fast Food|Hamburger|Restaurant
🍕	Pizza	Pizza|Pizzastück|Pizzeria
🍖	Fleischhachse	Fleisch|Fleischhachse|Knochen|Restaurant
🍗	Hähnchenschenkel	Fleisch|Geflügel|Hähnchenschenkel|Hühnerbein|Restaurant
🍘	Reiscracker	Cracker|Reiscracker
🍙	Reisbällchen	Essen|japanisch|Reis|Reisbällchen
🍚	Reis in Schüssel	Essen|Reis|Reis in Schüssel
🍛	Reis mit Curry	Curry|Reis|Reis mit Curry
🍜	Schüssel und Essstäbchen	chinesisches Essen|dampfend|Eiernudeln|Nudeln|Schüssel|Schüssel und Essstäbchen|Stäbchen|Suppe
🍝	Spaghetti	Essse|Nudeln mit Tomatensoße|Pasta|Restaurant|Spaghetti
🍞	Brot	Brot|Brotlaib|Essen|Kohlenhydrate|Laib Brot|Toast|Weißbrot|Weizen
🍟	Pommes frites	Fritten|Pommes|Pommes frites|Pommes Frites
🍠	geröstete Süßkartoffel	Essen|Gemüse|geröstet|Süßkartoffel
🍡	Dango	Dango|japanisches Gericht|Mochi-Kugeln auf einem Spieß|Restaurant
🍢	Oden	japanisches Gericht|Oden|Restaurant
🍣	Sushi	japanisches Gericht|Restaurant|Sushi
🍤	frittierte Garnele	frittierte Garnele|Frittierte Garnele|Garnele|Restaurant|tempura
🍥	Fischfrikadelle	Fisch|Fischfrikadelle|Restaurant|Spirale
🍦	Softeis	Eis|Softeis
🍧	Wassereis	Eis|Sorbet|Wassereis|zerstoßen
🍨	Eiscreme	Eis|Eisbecher|Eiscreme|Eisdiele
🍩	Donut	Donut|Doughnut|Essen|Kuchen|süß
🍪	Keks	Cookie|Keks|Plätchen
🍫	Schokoladentafel	Essen|Schokolade|Schokoladentafel|Süßigkeit
🍬	Bonbon	Bonbon|süß|Süßigkeit
🍭	Lutscher	Lolli|Lutscher|Süßigkeit
🍮	Pudding	Dessert|Flan|Nachspeise|Nachtisch|Pudding|Schokolade|Soße
🍯	Honigtopf	Honig|Honigtopf|süß
🍰	Torte	Kuchen|Kuchenstück|Stück Torte|Torte|Tortenstück
🍱	Bento-Box	Bento|Bento-Box|Japanisches essen|Sushi
🍲	Topf mit Essen	Eintopf|Gericht|Schüssel|Suppe|Topf mit Essen
🍳	Spiegelei in Bratpfanne	braten|Bratpfanne|Kochen|Pfanne|Spiegelei|Spiegelei in Bratpfanne
🍴	Messer und Gabel	Abendessen|Besteck|Essen|Frühstück|Gabel|Gabel und Messer|Geschirr|Hunger|lecker|Messer|Messer und Gabel|Mittagessen|Restaurant
🍵	Teetasse ohne Henkel	Getränk|grüner Tee|Oolong|Schale|Tee|Teetasse|Teetasse ohne Henkel
🍶	Sake-Flasche mit Tasse	Flasche|Getränk|Sake|Sake-Flasche mit Tasse|Sake-Flasche und -tasse|Tasse|trinken
🍷	Weinglas	Alkohol|Bar|Glas|Wein|Weinglas
🍸	Cocktailglas	Bar|Cocktail|Cocktailglas|Drink|martini
🍹	Cocktail	Bar|Cocktail|exotisches Getränk
🍺	Bierkrug	Bar|Bier|Bierkrug|Krug|Oktoberfest|prost|Weizenbier
🍻	Bierkrüge	anstoßen|Bier|Bierkrüge|Oktoberfest|prosit|prost|Weizen
🍼	Babyflasche	Baby|Babyflasche|Fläschchen|Flasche|Kind|Milch|trinken
🍾	Flasche mit knallendem Korken	Champagner|Flasche|Flasche mit knallendem Korken|Getränk|knallen|Korken|Sekt|trinken
🍿	Popcorn	Kino|Popcorn|Snack
🎀	pinke Schleife	Feier|Geschenk|pink|rosa|Schleife
🎁	Geschenk	Feier|Geburtstag|Geschenk|Schachtel|Schleife|Überraschung|verpackt|Weihnachten
🎂	Geburtstagskuchen	Essen|feier|Feier|Geburtstag|Geburtstagskuchen|Geburtstagstorte|happy birthday|kerzen|Kuchen|Lebensmittel|Torte
🎃	Halloweenkürbis	Halloween|Halloweenkürbis|Herbst|Kürbis|Kürbislaterne
🎄	Weihnachtsbaum	Baum|Tanne|Weihnachten|Weihnachtsbaum
🎅	Weihnachtsmann	Weihnachten|Weihnachtsmann
🎆	Feuerwerk	Feuerwerk|Silvester
🎇	Wunderkerze	Feiern|Feuerwerk|Party|Wunderkerze
🎈	Luftballon	Ballon|Feier|Geburtstag|Luftballon
🎉	Konfettibombe	Böller|Feier|juhu|Knaller|Konfetti|Konfettibombe|Party|super|yay
🎊	Konfettiball	Feier|Konfetti|Konfettiball|Party
🎋	Tanabata-Baum	Baum|Fest|Japan|Sternenfest|Tanabata-Baum|Zettel
🎌	überkreuzte Flaggen	Japan|japanische Flaggen|überkreuzte Flaggen|Überkreuzte Flaggen
🎍	Piniendekoration	Japan|Neujahrsfest|Piniendekoration
🎎	japanische Puppen	japanische Puppen|Japanische Puppen|Puppenfest Japan
🎏	traditionelle japanische Windsäcke	Feier|Karpfen|traditionelle japanische Windsäcke|Traditionelle japanische Windsäcke|Windsäcke
🎐	japanisches Windspiel	Bimmel|Feier|Glocke|japanisches Windspiel|Japanisches Windspiel|Wind
🎑	traditionelles Mondfest	Japan|Mond|Mondfest|traditionelles Mondfest|Traditionelles Mondfest
🎒	Schulranzen	Ranzen|Rucksack|Schule|Schulranzen|Tornister
🎓	Doktorhut	Abschlussfeier|Diplom|Doktorhut
🎠	Karussellpferd	Karussell|Karussellpferd|Pferd|reiten
🎡	Riesenrad	Freizeitpark|Rad|Riesenrad|Volksfest
🎢	Achterbahn	Achterbahn|Freizeitpark|Volksfest
🎣	Angel mit Fisch	Angel mit Fisch|Angeln|Entspannung
🎤	Mikrofon	Karaoke|Mikrofon|Singen|Unterhaltung
🎥	Filmkamera	Film|Filmkamera|Kino|Unterhaltung
🎦	Kinosymbol	Film|Filmkamera|Filmkamera in blauem Quadrat|Kino|Kinosymbol|Unterhaltung
🎧	Kopfhörer	Kopfhörer|Musik|Unterhaltung
🎨	Mischpalette	Farben|Kunst|Künstler|Mischpalette|Palette
🎩	Zylinder	Hut|Kopfbedeckung|Unterhaltung|Zauberer|Zylinder|Zylinderhut
🎪	Zirkuszelt	Unterhaltung|Zelt|Zirkus|Zirkuszelt
🎫	Ticket	Konzert|Ticket|Unterhaltung
🎬	Filmklappe	Film|Filmklappe|Klappe|Unterhaltung
🎭	Masken	Kunst|Masken|Theater|Unterhaltung
🎮	Gamepad	Gamepad|Gaming|Unterhaltung|Videospiel
🎯	Darts	Dart|Darts|Pfeil|Spiel|Volltreffer|Zielscheibe
🎰	Spielautomat	Glücksspiel|Spiel|Spielautomat
🎱	Billardkugel	8-Ball|Billard|Billardkugel|Kugel|schwarz|Spiel
🎲	Spielwürfel	Casino|Spiel|Spielwürfel|Unterhaltung|Würfel|würfeln|Zufall
🎳	Bowling	Bowling|Bowlingkugel|Kugel|Spiel
🎴	japanische Blumenkarte	Blume|Blumenkarte|Hanafuda|Japan|japanische Blumenkarte|Japanische Blumenkarte|Karte
🎵	Musiknote	Lied|Melodie|Musik|Musiknote|Note
🎶	Musiknoten	Musik|Musiknoten|Noten
🎷	Saxofon	Instrument|Musik|Musikinstrument|Saxofon
🎸	Gitarre	Gitarre|Instrument|Musik|Musikinstrument
🎹	Klaviatur	Instrument|Klaviatur|Klavier|Musik|Musikinstrument|Piano|Tastatur|Tasten
🎺	Trompete	Instrument|Musik|Musikinstrument|Trompete
🎻	Geige	Geige|Instrument|Musik|Musikinstrument|Violine
🎼	Notenschlüssel	Musik|Noten|Notenschlüssel|Partitur|Violinschlüssel
🎽	Laufshirt	Laufen|Laufshirt|Laufshirt mit Schärpe|Schärpe|Sport
🎾	Tennisball	Ball|Sport|Tennis|Tennisball
🎿	Ski	Ski|Ski und Stöcke
🏀	Basketball	Ball|Basketball|Korb|Sport
🏁	Zielflagge	Flagge|formel 1|karierte Flagge|nascar|Rennen|Sport|Zielflagge
🏂	Snowboarder(in)	Snowboard|Snowboarden|Snowboarder|Snowboarder(in)|Snowboarderin|Sport
🏃	laufende Person	eilig|joggen|laufen|Laufen|laufende Person|Läufer|Läuferin|Marathon|Person|rennen|schnell|Sport
🏄	Surfer(in)	Person|Sport|Surfboard|Surfbrett|Surfen|Surfer|Surfer(in)|Surferin|Wassersport|Wellenreiten|Wellenreiter|Wellenreiterin
🏅	Sportmedaille	Gewinn|Goldmedaille|Medaille|Sportmedaille
🏆	Pokal	Bundesliga|Champion|gewinnen|Pokal|Preis|Sieger|Sport|Trophäe
🏇	Pferderennen	Jockey auf Pferd|Pferderennen|schnell|Sport|um die Wette|wetten
🏈	Football	American Football|Amerika|Ball|Football|Sport|Super Bowl
🏉	Rugbyball	Ball|Rugby|Rugbyball|Sport
🏊	Schwimmer(in)	Kraulen|Person|Pool|Schwimmbecken|Schwimmen|Schwimmer|Schwimmer(in)|Schwimmerin|Sport|Triathlon|Wasser
🏏	Kricket	Ball|Cricket|Kricket|Schläger
🏐	Volleyball	Ball|Sport|Volleyball
🏑	Feldhockey	Feldhockey|Hockey|Schläger
🏒	Eishockey	Eishockey|Eishockey-Schläger und Puck|Hockey|Puck|Schläger
🏓	Tischtennis	Ball|Ping Pong|Schläger|Spiel|Sport|Tischtennis
🏠	Haus	Gebäude|Haus|Zuhause
🏡	Haus mit Garten	Baum|Haus|Haus mit Baum|Haus mit Garten
🏢	Bürogebäude	Bürogebäude|Hochhaus
🏣	japanisches Postgebäude	Japan|japanisches Postgebäude|Japanisches Postgebäude|Post
🏤	Postgebäude	Europa|Europäisches Postgebäude|Post|Postgebäude
🏥	Krankenhaus	Ambulanz|Arzt|Gebäude|krank|Krankenhaus|Medizin|Notaufnahme
🏦	Bank	Bank|Gebäude|Geld
🏧	Symbol „Geldautomat“	ATM|Geldautomat|Symbol „Geldautomat“
🏨	Hotel	Gebäude|Hotel|übernachten|Unterkunft
🏩	Stundenhotel	Gebäude|Hotel|Liebe|Stundenhotel|Unterkunft
🏪	Minimarkt	einkaufen|Gebäude|Geschäft|Lebensmittel|Minimarkt
🏫	Schule	Gebäude|Schule|Schulgebäude
🏬	Kaufhaus	einkaufen|Gebäude|Geschäft|Kaufhaus|shoppen
🏭	Fabrik	Fabrik|Fabrikgebäude|Gebäude
🏮	rote Papierlaterne	Izakaya|Japanische Laterne|japanisches Lokal|rote Papierlaterne
🏯	japanisches Schloss	Bauwerk|Gebäude|Japan|japanisch|japanisches Schloss|Japanisches Schloss|Schloss
🏰	Schloss	Bauwerk|Burg|Europa|europäisch|Gebäude|Märchen|Märchenschloss|Schloss
🏴	schwarze Flagge	Fahne|schwarze Fahne|schwarze Flagge|wehen|Wehende schwarze Fahne
🏸	Badminton	Badminton|Federball|Schläger
🏹	Pfeil und Bogen	Bogen|Pfeil|Pfeil und Bogen
🏺	Amphore	Amphore|Gefäß|kochen|Krug|Sternzeichen|Tierkreis|trinken|Vase|Wassermann
🐀	Ratte	Nagetier|Ratte|Tier
🐁	Maus	Maus|Nage|Tier
🐂	Ochse	Kuh|Ochse|Sternzeichen|Stier|Tier|Tierkreis
🐃	Wasserbüffel	Büffel|Tier|Wasser|Wasserbüffel
🐄	Kuh	Bauernhof|Kuh|muh|Tier
🐅	Tiger	Tier|Tiger
🐆	Leopard	gepunktet|Leopard|Punkte|Raubkatze|Raubtier|Tier|Zoo
🐇	Hase	Hase|Kaninchen|Karnickel|Mümmelmann|Nagetier|Tier
🐈	Katze	Haustier|Katze|miau|Tier
🐈‍⬛	schwarze Katze	Kater|Katze|miau|Pech|schwarz|schwarze Katze|schwarzer Kater|Tier|Unglück
🐉	Drache	chinesisch Neujahr|Drache|Märchen|Tier
🐊	Krokodil	Krokodil|Reptil|Schnappi|Tier
🐋	Wal	Ozean|Tier|Wal
🐌	Schnecke	langsam|Schnecke|Tier
🐍	Schlange	Schlange|Schlangenträger|Sternzeichen|Tier|Tierkreis
🐎	Pferd	Pferd|Rennen|Rennpferd|Tier
🐏	Widder	Schaf|Sternzeichen|Tierkreis|Widder
🐐	Ziege	Steinbock|Sternzeichen|Tier|Tierkreis|Ziege
🐑	Schaf	Bock|mäh|Schaf|Tier|Widder|Wolle
🐒	Affe	Affe|Tier
🐓	Hahn	Hahn|Tier
🐔	Huhn	Geflügel|Henne|Huhn|Tier|Tierkopf
🐕	Hund	Haustier|Hund|Tier|wau|wuff
🐕‍🦺	Assistenzhund	Assistenz|Assistenzhund|Barrierefreiheit|Behinderung|Hund|Tier
🐖	Schwein	Bauernhof|Sau|Schwein|Tier
🐗	Wildschwein	Eber|Schwein|Tier|Wildschwein
🐘	Elefant	Elefant|Tier
🐙	Oktopus	Krake|Meer|Oktopus|Tier|Tintenfisch
🐚	Schneckenhaus	Muschel|Schneckenhaus|Strand|Tier
🐛	Raupe	gefräßig|Insekt|Raupe|Tier
🐜	Ameise	Ameise|Insekt|Tier
🐝	Biene	Biene|Honig|Honigbiene|Hummel|Insekt|Maja|Natur|Summ|Tier
🐞	Marienkäfer	Glückskäfer|Insekt|Käfer|krabbel|Marienkäfer|Punkte|Tier
🐟	Fisch	Aquarium|Fisch|Fische|Meehr|Sternzeichen|Tier|Tierkreis
🐠	Tropenfisch	Fisch|Tier|Tropenfisch
🐡	Kugelfisch	Fisch|Kugelfisch|kugelrund|Meer|Tier
🐢	Schildkröte	Schildkröte|Tier
