⌚	montre	heure|montre
❕	point d’exclamation blanc	!|exclamation|point d’exclamation blanc|ponctuation|surprise
❗	point d’exclamation rouge	!|exclamation|point d’exclamation|point d’exclamation rouge|ponctuation
➕	plus	+|addition|ajouter|arithmétique|mathématiques|plus|signe plus|signe Plus|somme
➖	moins	-|−|arithmétique|mathématiques|moins|signe moins|signe Moins|soustraction|soustraire
➗	signe diviser	÷|algèbre|diviser|division|math|mathématique|mathématiques|signe
➰	boucle	boucle|bouclette
➿	double boucle	boucle|double boucle
⬛	grand carré noir	carré|forme|forme géométrique|géométrie|grand carré noir
⬜	grand carré blanc	carré|forme|géométrie|grand carré blanc
⭐	étoile	astronomie|étoile|nuit
⭕	cercle rouge	0|anneau|cercle|gros cercle|o|O|rouge
🀄	dragon rouge mahjong	dragon rouge mahjong|jeu|mah-jong|mahjong|rouge
🃏	carte Joker	carte Joker|cartes à jouer|jeu|Joker
🆎	groupe sanguin AB	AB|groupe sanguin|groupe sanguin AB
🆑	bouton Effacer	bouton Effacer|CL|effacer|icône Effacer
🆒	bouton Cool	bouton Cool|cool|icône Cool
🆓	bouton Gratuit	bouton Gratuit|gratuit|icône Gratuit
🆔	bouton Identifiant	bouton|icône Identifiant|ID|identifiant
🆕	bouton Nouveau	bouton Nouveau|icône Nouveau|nouveau|nouveauté
🆖	bouton Pas bien	bouton NG|bouton Pas bien|interdit|mauvais|NG
🆗	bouton OK	bouton OK|icône OK|OK
🆘	bouton SOS	à l’aide|au secours|bouton SOS|icône SOS|SOS
🆙	bouton Vers le haut	bouton Vers le haut|icône Nouveauté|nouveau|nouveauté|up
🆚	bouton VS	bouton VS|contre|icône Contre|versus|vs
🈁	bouton ici en japonais	bouton ici en japonais|ici|idéogramme|idéogramme katakana ici|japonais
🈚	bouton gratuit en japonais	bouton gratuit en japonais|gratuit|idéogramme|japonais
🈯	bouton réservé en japonais	bouton réservé en japonais|idéogramme|japonais|réservé
🈲	bouton interdit en japonais	bouton interdit en japonais|idéogramme|idéogramme interdit|japonais
🈳	bouton chambres disponibles en japonais	bouton chambres disponibles en japonais|chambres disponibles|idéogramme|idéogramme vide|japonais
🈴	bouton note pour réussir en japonais	bouton note pour réussir en japonais|idéogramme|japonais|note de passage|note pour réussir
🈵	bouton complet en japonais	bouton complet en japonais|complet|idéogramme|idéogramme plénitude|japonais
🈶	bouton pas gratuit en japonais	bouton pas gratuit en japonais|idéogramme|japonais|pas gratuit|payant
🈸	bouton application en japonais	application|bouton application en japonais|idéogramme|idéogramme appliquer|japonais
🈹	bouton réduction en japonais	bouton réduction en japonais|idéogramme|japonais|rabais|réduction
🈺	bouton ouvert pour affaires en japonais	bouton ouvert pour affaires en japonais|idéogramme|japonais|ouvert|ouvert pour affaires
🉐	bouton bonne affaire en japonais	bonne affaire|bouton bonne affaire en japonais|idéogramme|idéogramme avantage|japonais
🉑	bouton accepter en japonais	acceptable|accepter|bouton accepter en japonais|idéogramme|japonais
🌀	cyclone	cyclone|spirale|tourbillon|typhon|vertige
🌁	brume	brouillard|brume|voyage
🌂	parapluie fermé	météo|parapluie|parapluie fermé|pluie
🌃	nuit étoilée	étoiles|nuit|nuit étoilée|ville|voyage
🌄	soleil levant derrière les montagnes	lever de soleil|matin|nature|soleil|soleil levant derrière les montagnes|voyage
🌅	soleil levant	lever de soleil|matin|nature|soleil|soleil levant|voyage
🌆	ville au crépuscule	coucher de soleil|crépuscule|immeubles|soir|soleil|tombée de la nuit|ville|ville au crépuscule|voyage
🌇	coucher de soleil	coucher de soleil|coucher de soleil en ville|crépuscule|soir|soleil|tombée de la nuit|ville|voyage
🌈	arc-en-ciel	arc-en-ciel|bisexuelle|Gay Pride|homosexuelle|lesbienne|LGBTQIA|météo|nature|pluie|transgenre
🌉	pont de nuit	nuit|pont|pont de nuit
🌊	vague	eau|Kanagawa|lame|large|marée|mer|nature|océan|remous|rouleau|surf|vague
🌋	volcan	éruption|lave|nature|volcan
🌌	voie lactée	espace|voie lactée
🌍	globe tourné sur l’Afrique et l’Europe	afrique|Afrique|espace|europe|Europe|globe|globe présentant l’Europe et l’Afrique|globe tourné sur l’Afrique et l’Europe|monde|planète|Terre
🌎	globe tourné sur les Amériques	amérique|Amérique|espace|globe|globe présentant l’Amérique|globe tourné sur les Amériques|monde|planète|Terre
🌏	globe tourné sur l’Asie et l’Australie	asie|Asie|australie|Australie|espace|globe|globe présentant l’Asie et l’Australie|globe tourné sur l’Asie et l’Australie|monde|planète|Terre
🌐	globe avec méridiens	globe avec méridiens|globe terrestre|Internet|méridiens|monde|net|toile
🌑	nouvelle lune	espace|lune|nouvelle lune|sombre
🌒	lune croissante	espace|lune|lune croissante|nuit
🌓	premier quartier de lune	espace|lune|nuit|premier quartier|premier quartier de lune|quartier
🌔	lune gibbeuse croissante	croissant|espace|gibbeux|lune|lune gibbeuse croissante|nuit
🌕	pleine lune	espace|lune|nuit|pleine lune
🌖	lune gibbeuse décroissante	décroissant|espace|gibbeux|lune|lune gibbeuse décroissante|nuit
🌗	dernier quartier de lune	dernier quartier|dernier quartier de lune|espace|lune|quartier
🌘	lune décroissante	croissant|croissant de lune|espace|lune|lune décroissante|lune descendante|nuit
🌙	croissant de lune	croissant|croissant de lune|espace|lune|nuit|Ramadan
🌚	nouvelle lune avec visage	espace|lune|nouvelle lune à visage|nouvelle lune avec visage|nuit|visage
🌛	premier quartier de lune avec visage	croissant de lune|espace|lune|lune à visage|nuit|premier quartier de lune|premier quartier de lune avec visage|quartier|visage
🌜	dernier quartier de lune avec visage	croissant de lune|dernier quartier de lune|dernier quartier de lune avec visage|lune|lune à visage|nuit|quartier|visage
🌝	pleine lune avec visage	lune|lune à visage|nuit|pleine lune|pleine lune avec visage|sourire|visage
🌞	soleil avec visage	chaleur|chaud|éclatant|ensoleillé|jour|lumière|météo|plage|rayon de soleil|soleil|soleil à visage|soleil avec visage
🌟	étoile brillante	éclat|étincelant|étincelle|étoile|étoile brillante|nuit|nuit étoilée|succès
🌠	étoile filante	espace|étoile|étoile filante|nuit
🌭	hot dog	hot dog|nourriture|saucisse|saucisse de Francfort
🌮	taco	mexicain|nourriture|taco
🌯	burrito	burrito|kebab|mexicain|wrap
🌰	châtaigne	châtaigne|marron|nourriture|plante
🌱	jeune pousse	germe|jeune plant|jeune pousse|plante|plantule|pousser|printemps|semis
🌲	conifère	arbre|conifère|feuilles persistantes|forêt|pin|plante|sapin|sapin de Noël
🌳	arbre à feuilles caduques	arbre|arbre à feuilles caduques|feuilles caduques|feuillu|forêt|nature|plante
🌴	palmier	arbre|cocotier|palmier|plage|plante|tropical|tropiques
🌵	cactus	cactus|désert|épines|nature|piquant|plante|sécheresse
🌷	tulipe	bourgeon|fleur|plante|printemps|tulipe
🌸	fleur de cerisier	bourgeon|fleur|fleur de cerisier|plante|printemps
🌹	rose	amour|beauté|fleur|plante|rose|rouge|Saint-Valentin
🌺	hibiscus	fleur|hibiscus|plante
🌻	tournesol	champs|fleur|plante|soleil|tournesol
🌼	bourgeon	bourgeon|bouton d’or|dent-de-lion|fleur|pissenlit|plante|printemps
🌽	épi de maïs	épi|épi de maïs|ferme|maïs|nourriture
🌾	plant de riz	grain|plant de riz|plante|riz
🌿	feuille	arbre|feuille|feuilles|plante
🍀	trèfle à quatre feuilles	4|chance|feuilles|Irlande|plante|porte-bonheur|quatre|trèfle|trèfle à quatre feuilles
🍁	feuille d’érable	automne|érable|feuille|feuille d’érable|feuille morte|tomber
🍂	feuille morte	automne|feuille|feuille morte|feuilles mortes|tomber
🍃	feuille virevoltante	bourrasque|feuille|feuille virevoltante|souffle|tourbillon de feuilles|vent|virevolter
🍄	champignon	champignon|champignon vénéneux|Mario|plante
🍄‍🟫	champignon marron	automne|brun|cèpe|champignon|fongus|marron|nature|nourriture
🍅	tomate	fruit|légume|nourriture|plante|tomate
🍆	aubergine	aubergine|légume|nourriture
🍇	raisin	fruit|nourriture|raisin
🍈	melon	fruit|melon
🍉	pastèque	fruit|pastèque
🍊	mandarine	agrume|clémentine|fruit|mandarine|nourriture|orange|vitamine C
🍋	citron	acide|agrume|citron|fruit|nourriture|zeste
🍋‍🟩	citron vert	acide|agrume|citron|fruit|lime|mojito|tropical|vert|zeste
🍌	banane	banane|fruit|nourriture|potassium
🍍	ananas	ananas|fruit|nourriture|tropical
🍎	pomme rouge	fruit|nourriture|pomme|pomme rouge
🍏	pomme verte	fruit|nourriture|pomme|pomme verte
🍐	poire	fruit|nourriture|poire
🍑	pêche	fruit|nourriture|pêche
🍒	cerises	cerise|cerises|fruit|nourriture
🍓	fraise	fraise|fruit|nourriture
🍔	hamburger	burger|cheeseburger|fast food|hamburger|nourriture
🍕	pizza	fromage|nourriture|part|pepperoni|pizza|tranche
🍖	viande sur un os	nourriture|os|viande|viande sur un os
🍗	cuisse de poulet	cuisse|cuisse de poulet|dinde|nourriture|os|poulet|volaille
🍘	galette de riz	cracker|galette de riz|nourriture|riz
🍙	boulette de riz	boulette de riz|japonais|nourriture|onigiri|plat|riz
🍚	bol de riz	bol de riz|nourriture|riz
🍛	riz au curry	curry|nourriture|riz|riz au curry
🍜	bol fumant	bol|bol fumant|nouilles|nourriture|ramen|vapeur
🍝	spaghetti	italien|nourriture|pâtes|restaurant|sauce bolognaise|spaghetti
🍞	pain	miche|nourriture|pain|pain de mie
🍟	frites	fast food|frites|potatoes|potatœs
🍠	patate douce	nourriture|patate|patate douce|patate douce au four
🍡	brochette de bonbons	bonbons|brochette de bonbons|dango|dessert|japonais|nourriture
🍢	brochette de poisson	brochette|brochette de poisson|fruits de mer|nourriture|restaurant
🍣	sushi	japonais|nourriture|poisson|riz|sushi
🍤	beignet de crevette	beignet de crevette|crevette
🍥	croquette de poisson	croquette de poisson|gâteau|narutomaki|nourriture|poisson|restaurant|surimi
🍦	glace italienne	cornet de glace|dessert|glace|glace italienne|nourriture|sucré
🍧	granité	coupe de glace|crème glacée|dessert|glace|granité|nourriture|restaurant|sucré
🍨	glace	coupe de glace|crème|crème glacée|dessert|glace|nourriture|restaurant|sucré
🍩	doughnut	dessert|donut|doughnut|goûter|nourriture|sucré|sucrerie
🍪	cookie	biscuit|cookie|dessert|gâteau|goûter|nourriture|pépites de chocolat|sucré
🍫	barre chocolatée	barre|barre chocolatée|chocolat|dessert|goûter|nourriture|sucré
🍬	bonbon	bonbon|dessert|goûter|nourriture|sucré|sucrerie
🍭	sucette	dessert|goûter|nourriture|sucette|sucré|sucrerie
🍮	crème renversée	crème renversée|dessert|flan|nourriture|pudding|sucré
🍯	pot de miel	miel|nourriture|ours|pot|pot de miel|sucré
🍰	gâteau sablé	dessert|gâteau|gâteau sablé|goûter|nourriture|pâtisserie|sucré
🍱	boîte déjeuner	bento|boîte|déjeuner|nourriture
🍲	marmite	marmite|nourriture|ragoût
🍳	œuf au plat	cuisine|friture|nourriture|œuf|œuf au plat|petit-déjeuner|poêle|poêle à frire|se faire cuire un œuf
🍴	fourchette et couteau	couteau et fourchette|couverts|faim|fourchette et couteau|manger|nourriture|repas|restaurant
🍵	tasse	boisson|tasse|tasse de thé sans anse|thé
🍶	saké	boisson|bouteille|bouteille et verre|restaurant|saké|verre
🍷	verre de vin	alcool|bar|boisson|club|restaurant|verre|verre à vin|verre de vin|vin
🍸	cocktail	alcool|bar|boisson|club|cocktail|martini|verre|verre à cocktail|verre à pied
🍹	cocktail tropical	alcool|bar|boîte|cocktail|cocktail tropical|fête|tequila sunrise|verre
🍺	chope	alcool|bar|bière|boisson|chope|chope de bière|oktoberfest|picoler|pinte|santé
🍻	chopes de bière	alcool|bière|boisson|chopes de bière|santé|tchin|trinquer
🍼	biberon	bébé|biberon|boisson|lait|naissance|nouveau-né|tétine
🍾	bouteille de champagne	alcool|boisson|bouchon|bouteille|bouteille de champagne|champagne|félicitations|fête|pop
🍿	pop-corn	cinéma|nourriture|pop-corn
🎀	ruban	fête|nœud|ruban|ruban rose
🎁	cadeau	anniversaire|cadeau|cadeau emballé|fête|Noël|nœud|surprise
🎂	gâteau d’anniversaire	anniversaire|bougies|dessert|fête|gâteau|gâteau d’anniversaire|goûter|joyeux anniversaire|nourriture|pâtisserie
🎃	citrouille	citrouille|halloween|Halloween|lanterne
🎄	sapin de Noël	arbre|fête|fêtes|guirlandes|Noël|sapin de Noël|Sapin de Noël
🎅	père Noël	bonnet|fêtes|magie|noël|Noël|père|Santa Claus|tradition
🎆	feu d’artifice	14 juillet|artifice|fête|feu d’artifice
🎇	cierge magique	14 juillet|artifice|cierge magique|étincelle|étincelles|fête|feu d’artifice
🎈	ballon gonflable	anniversaire|ballon|ballon de baudruche|ballon gonflable|fête
🎉	cotillons	anniversaire|cotillons|fête|super
🎊	confettis	anniversaire|confettis|fête
🎋	arbre à vœux	arbre|arbre à vœux|fête|Japon|prières|Tanabata|vœux
🎌	drapeaux croisés	drapeaux|drapeaux croisés|japonais
🎍	bambou décoratif	bambou|bambou décoratif|fête|japonais|plante
🎎	poupées japonaises	festival|Japon|poupées|poupées japonaises
🎏	koinobori	carpe|fête|koinobori
🎐	carillon éolien	carillon|carillon éolien|clochette|fête|vent
🎑	cérémonie de la lune	cérémonie|cérémonie de la lune|lune
🎒	cartable	cartable|école|sac|sac à dos
🎓	toque universitaire	accessoire|chapeau|diplôme|étudiant|toque universitaire|université|vêtements
🎠	cheval de manège	cheval|cheval de manège|manège
🎡	grande roue	attractions|grande roue|parc d’attractions|roue
🎢	montagnes russes	attractions|montagnes|parc d’attractions|russes
🎣	pêche à la ligne	canne à pêche|pêche|pêche à la ligne|sport
🎤	micro	chanter|karaoke|karaoké|micro|microphone|musique
🎥	caméra	caméra|cinéma|film|filmer|réalisateur|réalisatrice|vidéo
🎦	cinéma	caméra|cinéma|film
🎧	casque	casque|écouteur|écouteurs|musique|son
🎨	palette de peinture	art|artiste|couleurs|musée de peinture|palette de peinture|peindre|peintre|peinture
🎩	haut de forme	accessoire|chapeau|élégant|haut de forme|haut-de-forme|magie|vêtements
🎪	chapiteau	chapiteau|cirque
🎫	billet	billet|place|spectacle
🎬	clap	action|ça tourne|clap|film
🎭	spectacle vivant	acteur|actrice|art|masque|spectacle|spectacle vivant|théâtre
🎮	jeu vidéo	jeu vidéo|joystick|manette|playstation|xbox
🎯	dans le mille	cible|dans le mille|fléchettes|jeu
🎰	machine à sous	casino|jeu|machine à sous
🎱	boule de billard	8|billard|boule de billard|boule magique|huit|jeu|pool
🎲	dés	dé|dés|hasard|jeu
🎳	bowling	boule|bowling|jeu|partie|quilles|sport|strike
🎴	jeu des fleurs	carte|carte à jouer|fleur|fleurs|japonais|jeu|jeu des fleurs
🎵	note de musique	musique|note|note de musique
🎶	notes de musique	musique|note|notes|notes de musique|partition
🎷	saxophone	instrument|musique|saxophone
🎸	guitare	guitare|guitare électrique|instrument|musique
🎹	piano	clavier|instrument|musique|piano|touches
🎺	trompette	instrument|musique|trompette
🎻	violon	instrument|musique|violon
🎼	partition	musique|note|partition
🎽	maillot de course	athlétisme|course à pied|jogging|maillot de course|running|sport|tee-shirt de course
🎾	tennis	balle|balle de tennis|sport|tennis
🎿	ski	neige|ski|sport
🏀	basket	ballon|basket|basket-ball|panier|sport
🏁	drapeau à damier	course automobile|damier|drapeau|drapeau à damier|formule 1|ligne d’arrivée|sport automobile|vainqueur
🏂	snowboardeur	homme|neige|ski|snowboard|snowboardeur|sport
🏃	personne qui court	arriver|coureur|courir|course à pied|homme qui court|jogging|marathon|marathonien|personne qui court|pressé|rapide|sportif|vite
🏄	personne faisant du surf	glisse|homme|mer|océan|personne|personne faisant du surf|plage|planche|sport|surf|vagues
🏅	médaille sportive	champion|championne|médaille|médaille d’or|médaille sportive|sport|vainqueur|victoire
🏆	trophée	champion|championne|coupe|gagner|prix|trophée|victoire
🏇	course hippique	cheval|course de chevaux|course hippique|jockey|sport
🏈	football américain	ballon|football américain|sport|Super Bowl
🏉	rugby	ballon|rugby|sport
🏊	personne nageant	crawl|eau|exercice|homme|nage|nageur|natation|personne|personne nageant|piscine|sport
🏏	cricket	balle|balle de cricket|batte|cricket|jeu|match|sport
🏐	volley-ball	ballon|jeu|match|sport|volley|volley-ball
🏑	hockey sur gazon	balle|crosse|hockey|hockey sur gazon|sport
🏒	hockey sur glace	crosse|hockey|hockey sur glace|palet|sport
🏓	ping-pong	balle|jeu|partie|ping-pong|raquette|sport|tennis de table
🏠	maison	bâtiment|foyer|maison|maison simple|pavillon|résidentiel
🏡	maison avec jardin	foyer|jardin|maison|maison avec jardin|pavillon|résidentiel
🏢	immeuble de bureaux	bureaux|immeuble|immeuble de bureaux|ville
🏣	bureau de poste japonais	bâtiment|bureau de poste japonais|Japon|poste|poste japonaise|voyage
🏤	bureau de poste	bâtiment|bureau de poste|européen|poste
🏥	hôpital	bâtiment|docteur|hôpital|médecin|urgences
🏦	banque	banque|bâtiment
🏧	distributeur de billets	argent|banque|dab|distributeur|distributeur automatiques de billets|distributeur de billets|guichet automatique|retrait
🏨	hôtel	bâtiment|hôtel|voyage
🏩	love hotel	amour|bâtiment|cœur|hôtel|love hotel|voyage
🏪	supérette	24h/24|bâtiment|épicerie|magasin|supérette|supermarché
🏫	école	bâtiment|école
🏬	grand magasin	bâtiment|centre commercial|grand magasin|magasin
🏭	usine	bâtiment|usine
🏮	lampion rouge	japonais|lampion rouge|lanterne|lumière|restaurant|rouge
🏯	château japonais	bâtiment|château|japonais|voyage
🏰	château	bâtiment|château|européen|voyage
🏴	drapeau noir	drapeau|drapeau noir|drapeau qui flotte au vent
🏸	badminton	badminton|jeu|match|raquette|sport|volant
🏹	arc et flèche	arc|arc et flèche|archer|astrologie|flèche|horoscope|Sagittaire|sport|tir à l’arc|zodiaque
🏺	amphore	amphore|astrologie|cuisine|grec|Grèce|horoscope|vase|Verseau|zodiaque
🐀	rat	animal|rat
🐁	souris	animal|souris
🐂	bœuf	animal|astrologie|bœuf|ferme|horoscope|taureau|zodiaque
🐃	buffle	animal|buffle|corne|zoo
🐄	vache	animal|ferme|lait|meuh|vache
🐅	tigre	animal|félin|prédateur|tigre|tigresse|zoo
🐆	léopard	animal|félin|léopard|prédateur|zoo
🐇	lapin	animal|animal domestique|lapin
🐈	chat	animal|animal domestique|chat|chaton|miaou|miauler
🐈‍⬛	chat noir	animal|chat|chaton|félin|halloween|malchanceux|matou|miaou|noir|superstition
🐉	dragon	animal|Chine|chinois|dragon|Game of Thrones|mythe|tradition
🐊	crocodile	alligator|animal|caïman|crocodile|reptile|zoo
🐋	baleine	animal|baleine|mer|océan|plage
🐌	escargot	animal|escargot|jardin|lentement|nature
🐍	serpent	animal|reptile|serpent|serpent à sonnette|venin
🐎	cheval	animal|cheval|course hippique|hippodrome|tiercé
🐏	bélier	animal|astrologie|bélier|corne|ferme|horoscope|mouton|zodiaque
🐐	chèvre	animal|astrologie|Capricorne|chèvre|ferme|fromage|horoscope|lait|zodiaque
🐑	mouton	animal|bêler|brebis|doux|ferme|laine|lait|mouton
🐒	singe	animal|primate|singe
🐓	coq	animal|coq|oiseau|volaille
🐔	poule	animal|coq|ferme|oiseau|poule|poulet|volaille
🐕	chien	aboyer|animal|animal domestique|chien
🐕‍🦺	chien d’assistance	accessibilité|aide|animal|assistance|chien d’assistance|chien-guide|handicap
🐖	cochon	animal|cochon|ferme|gros|jambon|porc|truie
🐗	sanglier	animal|Game of Thrones|sanglier
🐘	éléphant	animal|éléphant|pachyderme|trompe
🐙	pieuvre	animal|créature|mer|mollusque|océan|pieuvre|poulpe
🐚	coquille en spirale	animal|conque|coquillage|coquille|coquille en spirale|mer|plage|spirale
🐛	chenille	animal|chenille|insecte|jardin
🐜	fourmi	animal|fourmi|insecte|jardin
🐝	abeille	abeille|animal|bourdon|guêpe|insecte|miel|nature|printemps
🐞	coccinelle	animal|bête|coccinelle|insecte|jardin|nature
🐟	poisson	alimentation|animal|astrologie|horoscope|manger|nourriture|poisson|poissons|Poissons|repas|zodiaque
🐠	poisson tropical	animal|poisson|poisson tropical
🐡	poisson-lune	animal|poisson|poisson-lune
🐢	tortue	animal|carapace|lentement|reptile|tortue
🐣	poussin qui éclôt	animal|bébé|éclosion|naissance|naître|nouveau-né|œuf|oiseau|poussin|poussin qui éclôt
🐤	poussin	animal|oiseau|poussin|tête de poussin
🐥	poussin de face	animal|bébé|nouveau-né|oiseau|poussin|poussin de face
🐦	oiseau	animal|oiseau|ornithologie
🐦‍⬛	oiseau noir	animal|bec|corbeau|corneille|corvidé|croasser|merle|noir|oiseau
🐦‍🔥	phénix	ailes|cendres|feu|gloire|immortel|mythologie|oiseau|phénix|renaissance|renaître|revivre|transformation
🐧	pingouin	animal|Antarctique|banquise|manchot|oiseau|pingouin
🐨	koala	animal|Australie|koala
🐩	caniche	animal|caniche|chien
🐪	dromadaire	animal|bosse|désert|dromadaire|une bosse
🐫	chameau	animal|bosse|chameau|chameau à deux bosses|désert|deux bosses
🐬	dauphin	animal|dauphin|Flipper|mer|océan|plage
🐭	tête de souris	animal|souris|tête de souris|visage
🐮	tête de vache	animal|lait|meuh|tête de vache|vache|visage
🐯	tête de tigre	animal|félin|prédateur|tête de tigre|tigre|visage
🐰	tête de lapin	animal|animal domestique|dents|lapin|tête de lapin
🐱	tête de chat	animal|chat|chaton|miaou|minou|tête de chat
🐲	tête de dragon	animal|dragon|mythe|tête de dragon|tradition
🐳	baleine soufflant par son évent	animal|baleine|baleine avec évent|baleine soufflant par son évent|mer|océan|plage|souffle
🐴	tête de cheval	animal|cheval|dressage|équitation|ferme|jument|tête de cheval
🐵	tête de singe	animal|Georges le petit curieux|singe|sourire|tête de singe|visage
🐶	tête de chien	animal|animal domestique|chien|chiot|tête de chien|visage
🐷	tête de cochon	animal|cochon|ferme|porc|tête de cochon|visage
🐸	grenouille	animal|crapaud|grenouille|tête|tête de grenouille
🐹	hamster	animal|animal domestique|hamster|tête|tête de hamster|visage
🐺	loup	animal|loup|louve|tête|tête de loup
🐻	ours	animal|miel|nounours|ours|ours brun|teddy|tête|visage
🐼	panda	animal|panda|tête|tête de panda|visage
🐽	groin	animal|cochon|ferme|flair|groin|museau|porc|sentir|tête de cochon
🐾	empreintes d’animaux	empreintes|empreintes d’animaux|empreintes de pattes|pattes
👀	yeux	chercher|corps|coup d’œil|œil|regarder|visage|voir|yeux
👂	oreille	corps|écouter|entendre|oreille|ouïe|son
👃	nez	corps|narines|nez|odeur|sentir
👄	bouche	baiser|beauté|bise|bisou|bouche|corps|embrasser|lèvres|rouge à lèvres
👅	langue	corps|langue|lécher
👆	main avec index pointant vers le haut	doigt|haut|index|index vers le haut|main|main avec index pointant vers le haut|montrer
👇	main avec index pointant vers le bas	bas|doigt|index|index vers le bas|main|main avec index pointant vers le bas|montrer
👈	main avec index pointant à gauche	doigt|gauche|index|index pointé vers la gauche|main|main avec index pointant à gauche
👉	main avec index pointant à droite	doigt|droite|index|index pointé vers la droite|main|main avec index pointant à droite
👊	poing de face	absolument|battre|boum|correct|coup de poing|d’accord|main|mon pote|poing|poing de face|serrer
👋	signe de la main	à bientôt|à plus tard|au revoir|bonjour|bye|coucou|hello|il y a quelqu’un ?|main|main qui salue|salut|signe|signe de la main
👌	ok	compris|d’accord|geste|main|nickel|ok|OK|parfait|super|tout va bien
👍	pouce vers le haut	bien|compris|d’accord|génial|haut|main|moi aussi|OK|oui|pouce levé|pouce vers le haut|super|top
👎	pouce vers le bas	bas|main|mauvais|non|nul|pouce|pouce baissé|pouce vers le bas
👏	applaudissements	applaudissements|bien joué|bon travail|bravo|félicitations|formidable|geste|mains|mains qui applaudissent|super
👐	mains ouvertes	main|mains écartées|mains ouvertes|ouvert
👑	couronne	accessoire|couronne|famille royale|monarchie|monarque|reine|roi|royauté|succès|vêtements
👒	chapeau de femme	chapeau|chapeau de femme|femme|vêtements
👓	lunettes de vue	accessoire|lunettes|lunettes de vue|œil|vêtements|yeux
👔	cravate	chemise|cravate|travail|vêtements
👕	T-shirt	bleu|chemise|courses|décontracté|polo|shopping|T-shirt|tee-shirt|vêtements|week-end
👖	jean	bleu|courses|denim|jean|pantalon|shopping|vêtements|week-end
👗	robe	courses|élégante|jolie|robe|shopping|vêtements
