🍶	սակե	բաժակ|բար|ըմպելիք|խմել|շիշ|սակե
🍷	գինու բաժակ	բաժակ|բար|գինի|գինու բաժակ|ըմպելիք|խմել
🍸	կոկտեյլի բաժակ	բաժակ|բար|խմել|կոկտեյլ|կոկտեյլի բաժակ
🍹	արևադարձային ընպելիք	արևադարձային|արևադարձային ընպելիք|բար|խմել
🍺	գարեջրի գավաթ	բար|գավաթ|գարեջուր|գարեջրի գավաթ|խմել
🍻	զրնգացող գարեջրի գավաթներ	բար|գավաթ|գարեջուր|զրնգալ|զրնգացող գարեջրի գավաթներ|խմել
🍼	մանկական շիշ	խմել|կաթ|մանկական|շիշ
🍾	թռչող խցանով շիշ	բար|դուրս թռչել|թռչող խցանով շիշ|խմել|խցան|շիշ
🍿	ադիբուդի	ադիբուդի
🎀	ժապավեն	ժապավեն|տոն|տոնակատարություն
🎁	փաթեթավորված նվեր	արկղ|նվեր|տոն|փաթեթավորված
🎂	ծննդյան տորթ	աղանդեր|խմորեղեն|ծննդյան տորթ|տարեդարձ|տոն|քաղցր
🎃	ջեքի լապտեր	լապտեր|հելոուին|ջեք|ջեքի լապտեր|տոն
🎄	տոնածառ	ծառ|սուրբ ծնունդ|տոն|տոնածառ
🎅	Սանտա Կլաուս	հայր|հեքիաթ|սանտա|Սանտա Կլաուս|Սուրբ ծնունդ|տոն|ֆանտազիա
🎆	հրավառություն	հրավառություն|տոնակատարություն
🎇	բենգալյան կրակ	բենգալյան կրակ|կայծ|հրավառություն|տոնակատարություն
🎈	փուչիկ	տոն|փուչիկ
🎉	ճայթուկ	երեկույթ|ճայթուկ|տոն
🎊	կոնֆետի	գունդ|կոնֆետի|տոն
🎋	տանաբատայի ծառ	դրոշակ|ծառ|ճապոնական|տանաբատա|տանաբատայի ծառ|տոն
🎌	խաչված դրոշակներ	խաչ|խաչված|խաչված դրոշակներ|ճապոնական|տոն
🎍	սոճու զարդարանք	բամբուկ|բամբուկից դեկորացիա|բույս|դեկորացիա|ճապոնական|սոճու զարդարանք|տոն
🎎	ճապոնական տիկնիկներ	ճապոնական|ճապոնական տիկնիկներ|տիկնիկ|տոն|փառատոն
🎏	կարպերի տեսքով նավադրոշ	կարպ|կարպերի տեսքով նավադրոշ|նավադրոշ|տոն
🎐	քամու զանգակ	զանգ|տոն|քամի|քամու զանգակ
🎑	լուսնի դիտման ծես	լուսին|լուսնի դիտման ծես|ծես|տոն
🎒	ուսապարկ	դպրոց|ուսապարկ|պայուսակ
🎓	շրջանավարտի գլխարկ	ավարտական|գլխարկ|հագուստ|շրջանավարտի գլխարկ|տոն
🎠	կարուսելի ձի	կարուսել|կարուսելի ձի|ձի
🎡	սատանայի անիվ	անիվ|զվարճանքների այգի|սատանայի
🎢	ամերիկյան բլուրներ	ամերիկյան|բլուրներ|զվարճանքների այգի
🎣	կարթաձող	կարթ|կարթաձող|ձուկ
🎤	խոսափող	խոսափող|կարաոկե
🎥	կինոխցիկ	խցիկ|կինո|կինոխցիկ
🎦	կինո	ժապավեն|կինո|կինոմատոգրաֆիա|տեսախցիկ|ֆիլմ
🎧	ականջակալ	ականջակալ
🎨	ներկապնակ	արվեստ|թանգարան|ներկապնակ|նկարչություն
🎩	բարձր գլխարկ	բարձր գլխարկ|գլխարկ|հագուստ|ցիլինդր
🎪	կրկեսի վրան	կրկես|կրկեսի վրան|վրան
🎫	տոմս	մուտք|տոմս
🎬	կինոդուբլների համարացույց	կինոդուբլ|կինոդուբլների համարացույց|ֆիլմ
🎭	կատարողական արվեստ	արվեստ|դիմակ|թատրոն|կատարողական արվեստ|ներկայացում
🎮	տեսախաղ	խաղ|համակարգչային խաղ|վահանակ|տեսախաղ
🎯	դիպուկ հարված	դարթ|դիպուկ հարված|թիրախ|խաղ|կենտրոն|հարվածել|նշանակետ
🎰	խաղային սարք	ավտոմատ|խաղ|խաղային սարք
🎱	8 գնդանոց բիլիարդ	8|8 գնդանոց բիլիարդ|բիլիարդ|գնդակ|խաղ|ութ
🎲	զառ	զառ|խաղ
🎳	բոուլինգ	բոուլինգ|գնդակ|խաղ
🎴	ծաղկի խաղաթղթեր	թղթախաղ|խաղ|խաղալ|ծաղիկ|ծաղկի խաղաթղթեր|ճապոնական
🎵	նոտա	երաժշտություն|նոտա
🎶	նոտաներ	երաժշտություն|ձայնանիշ
🎷	սաքսոֆոն	գործիք|երաժշտություն|սաքսոֆոն
🎸	կիթառ	գործիք|երաժշտություն|կիթառ
🎹	երաժշտական ստեղնաշար	գործիք|դաշնամուր|երաժշտական ստեղնաշար|երաժշտություն|ստեղնաշար
🎺	շեփոր	գործիք|երաժշտություն|շեփոր
🎻	ջութակ	գործիք|երաժշտություն|ջութակ
🎼	սոլի բանալի	երաժշտություն|սոլի բանալի
🎽	վազքի շապիկ	ժապավեն|շապիկ|վազքի շապիկ
🎾	թենիս	գնդակ|թենիս|թենիսի գնդակ|մեծ
🎿	դահուկներ	դահուկ|դահուկներ|ձյուն
🏀	բասկետբոլ	բասկետբոլ|բասկետբոլի գնդակ|գնդակ
🏁	վանդակավոր դրոշ	մրցարշավ|վանդակավոր|վանդակավոր դրոշ
🏂	սնոուբորդիստ	դահուկ|ձյուն|սնոուբորդ|սնոուբորդիստ
🏃	վազող անձ	մարաթոն|վազող անձ|վազք
🏄	սերֆեր	սերֆեր|սերֆինգ
🏅	մարզական մեդալ	մարզական մեդալ|մեդալ|սպորտային մեդալ
🏆	գավաթ	գավաթ|մրցանակ
🏇	ձիարշավ	ժոկեյ|ձի|ձիավազք|ձիարշավ|մրցարշավ|մրցարշավային ձի
🏈	ամերիկյան ֆուտբոլի գնդակ	ամերիկյան|ամերիկյան ֆուտբոլի գնդակ|գնդակ|ֆուտբոլ
🏉	ռեգբիի գնդակ	գնդակ|ռեգբի|ռեգբիի գնդակ|ֆուտբոլ
🏊	լողորդ	լողալ|լողորդ
🏏	կրիկետ	գնդակ|թիակ|խաղ|կրիկետ
🏐	վոլեյբոլ	գնդակ|խաղ|վոլեյբոլ|վոլեյբոլի գնդակ
🏑	մականախաղ	գնդակ|դաշտ|խաղ|հոկեյ|մական|մականախաղ
🏒	սառույցի մականախաղ	խաղ|հոկեյ|մական|սառույց|սառույցի մականախաղ|տափօղակ
🏓	սեղանի թենիս	գնդակ|թի|խաղ|ձեռնաթիակ|պինգ-պոնգ|սեղանի թենիս
🏠	տուն	բնակարան|բնակելի տուն|շենք|տուն
🏡	այգիով տուն	այգի|այգիով տուն|բնակարան|շենք|տուն
🏢	գրասենյակային շենք	գրասենյակային շենք|շենք
🏣	ճապոնական փոստատուն	ճապոնական|շենք|փոստատուն
🏤	փոստատուն	եվրոպական|շենք|փոստատուն
🏥	հիվանդանոց	բժիշկ|բժշկություն|հիվանդանոց|շենք
🏦	բանկ	բանկ|շենք
🏧	բանկոմատի նշան	atm|բանկ|բանկոմատ|բանկոմատի նշան|գանձապահ
🏨	հյուրանոց	հյուրանոց|շենք
🏩	սիրային հյուրանոց	հյուրանոց|շենք|սեր|սիրային հյուրանոց
🏪	շուրջօրյա խանութ	խանութ|շենք|շուրջօրյա
🏫	դպրոց	դպրոց|շենք
🏬	հանրախանութ	խանութ|հանրախանութ|շենք
🏭	գործարան	գործարան|շենք
🏮	թղթե կարմիր լապտեր	բար|թղթե կարմիր լապտեր|լապտեր|լույս|կարմիր|ճապոնական
🏯	ճապոնական դղյակ	դղյակ|ճապոնական|շենք
🏰	դղյակ	դղյակ|եվրոպական|շենք
🏴	ծածանվող սև դրոշ	ծածանվող|ծածանվող սեւ դրոշ|ծածանվող սև դրոշ
🏸	բադմինտոն	բադմինտոն|խաղ|ձեռնաթիակ|ռակետ|վոլան|փետրագնդակ
🏹	նետ ու աղեղ	աղեղ|աղեղնավոր|գործիք|զենք|նետ|նետ ու աղեղ
🏺	սափոր	գործիք|զենք|խմել|խոհարարություն|կենդանակերպ|ջրհոս|սափոր
🐀	առնետ	առնետ
🐁	մուկ	մուկ
🐂	ցուլիկ	կենդանակերպ|ցուլ|ցուլիկ
🐃	ջրագոմեշ	ջուր|ջրագոմեշ
🐄	կով	կով
🐅	վագր	վագր
🐆	ընձառյուծ	ընձառյուծ
🐇	ճագար	ընտանի կենդանի|ճագար|նապաստակ
🐈	կատու	ընտանի կենդանի|կատու
🐈‍⬛	սև կատու	անհաջողակ|կատու|սև
🐉	վիշապ	հեքիաթ|վիշապ
🐊	կոկորդիլոս	կոկորդիլոս
🐋	կետ	կետ
🐌	խխունջ	դանդաղաշարժ|խեցի|խխունջ|տնակ
🐍	օձ	կենդանակերպ|օձ
🐎	ձի	ձի|մրցավազք|մրցավազքային ձի
🐏	արու ոչխար	արու ոչխար|խոյ|կենդանակերպ|ոչխար
🐐	այծ	այծ|այծեղջյուր|կենդանակերպ
🐑	մաքի	մաքի|ոչխար
🐒	կապիկ	կապիկ
🐓	աքաղաղ	աքաղաղ|ընտանի|թռչուն|ծուղրուղու|հպարտ
🐔	հավ	ընտանի|թռչուն|հավ
🐕	շուն	ընտանի|հավատարիմ|շուն|տնային կենդանի
🐕‍🦺	ծառայողական շուն	ծառայողական շուն|հաշմանդամ|շուն|օգնություն
🐖	խոզ	էգ խոզ|խոզ
🐗	վարազ	վայրի խոզ|վարազ
🐘	փիղ	փիղ
🐙	ութոտնուկ	ութոտնուկ
🐚	պարուրաձև խխունջախեցի	խխունջ|պարույր|պարուրաձև խխունջախեցի
🐛	միջատ	թրթուր|միջատ
🐜	մրջյուն	աշխատասեր|միջատ|մրջյուն
🐝	մեղու	աշխատասեր|մեղու|մեղր|միջատ
🐞	զատիկ	բզեզ|զատիկ|միջատ|պուտեր
🐟	ձուկ	կենդանակերպ|ձկներ|ձուկ
🐠	արևադարձային ձուկ	արևադարձային|ձուկ
🐡	փքաձուկ	ձուկ|փքաձուկ
🐢	կրիա	կրիա
🐣	ձվից դուրս եկող ճուտիկ	դեղնակտուց|ձվից դուրս եկող ճուտիկ|ճուտ
🐤	ճուտիկ	ձագ|ճուտ|ճուտիկ|փոքր
🐥	դեմքով շրջված ճուտիկ	դեմքով շրջված ճուտիկ|ծիտիկ|ձագուկ|ճուտ
🐦	թռչուն	թռչուն|ծիտ
🐦‍⬛	կեռնեխ	ագռավ|թռչուն|կեռնեխ|սերմնագռավ|սև
🐦‍🔥	փյունիկ	հրեղեն թռչուն|վերածնունդ|փյունիկ
🐧	պինգվին	անտարկտիդա|թռչուն|պինգվին
🐨	կոալա	արջ|կոալա
🐩	պուդել	շուն|պուդել
🐪	ուղտ	միասապատ|ուղտ|սապատ
🐫	երկսապատավոր ուղտ	երկսապատանի|երկսապատավոր ուղտ|կուզ|ուղտ
🐬	դելֆին	դելֆին
🐭	մկան մռութ	դեմք|մկան մռութ|մուկ
🐮	կովի մռութ	կով|կովի մռութ|մռութ
🐯	վագրի մռութ	մռութ|վագր|վագրի մռութ|վայրի
🐰	ճագարի մռութ	ընտանի կենդանի|ճագար|ճագարի մռութ|մռութ|նապաստակ
🐱	կատվի մռութ	ընտանի կենդանի|կատու|կատվի մռութ|մռութ
🐲	վիշապի մռութ	դեմք|հեքիաթ|մռութ|վիշապ|վիշապի մռութ
🐳	ջուր ցայտեցնող կետաձուկ	դեմք|կետաձուկ|ջուր ցայտեցնող կետաձուկ|ցայտում
🐴	ձիու մռութ	ձի|ձիու մռութ|մռութ
🐵	կապիկի դեմք	դեմք|կապիկ|կապիկի դեմք|մռութ
🐶	շան մռութ	ընտանի|մռութ|շան մռութ|շուն
🐷	խոզի մռութ	խոզ|խոզի մռութ|մռութ
🐸	գորտ	գորտ|դեմք|մռութ
🐹	գերմանամուկ	գերմանամուկ|դեմք|ընտանի կենդանի|մռութ
